exp,tf,rank,frac,fam_rank,size,max_jac,top_nb,miss,fam_miss
DataSet_01_006,PROX1,122.0,0.15926892950391644,2.0,34,0.07758620689655173,SOX2,True,True
DataSet_01_007,NR2F2,205.0,0.26762402088772846,1.0,79,0.20175438596491227,NR2F1,True,False
DataSet_01_008,WT1,320.0,0.4177545691906005,6.0,156,0.11255411255411256,EGR1,True,True
DataSet_01_010,TP53,7.0,0.009138381201044387,1.0,980,0.1970649895178197,SP1,False,False
DataSet_01_011,TP53,217.0,0.283289817232376,1.0,980,0.1970649895178197,SP1,True,False
DataSet_01_012,FLI1,125.0,0.16318537859007834,3.0,97,0.31932773109243695,EWSR1,True,True
DataSet_01_013,FLI1,17.0,0.022193211488250653,2.0,97,0.31932773109243695,EWSR1,False,True
DataSet_01_014,FLI1,85.0,0.11096605744125326,3.0,97,0.31932773109243695,EWSR1,True,True
DataSet_01_015,FLI1,170.0,0.22193211488250653,2.0,97,0.31932773109243695,EWSR1,True,True
DataSet_01_016,FLI1,13.0,0.016971279373368148,2.0,97,0.31932773109243695,EWSR1,False,True
DataSet_01_017,ERG,124.0,0.1618798955613577,1.0,59,0.09090909090909091,FLI1,True,False
DataSet_01_018,YY1,455.0,0.5939947780678851,2.0,266,0.11396468699839486,NFKB1,True,True
DataSet_01_021,STAT1,11.0,0.014360313315926894,2.0,305,0.1967741935483871,STAT3,False,True
DataSet_01_025,MITF,3.0,0.0039164490861618795,1.0,112,0.09770114942528736,ID1,False,False
DataSet_01_026,PAX3,59.0,0.07702349869451697,1.0,116,0.08203125,SP3,False,False
DataSet_01_027,PAX3,99.0,0.12924281984334204,1.0,116,0.08203125,SP3,True,False
DataSet_01_030,RELA,1.0,0.0013054830287206266,1.0,560,0.5608214849921012,NFKB1,False,False
DataSet_01_031,TP53,20.0,0.02610966057441253,5.0,980,0.1970649895178197,SP1,False,True
DataSet_01_033,ATF3,179.0,0.23368146214099217,4.0,110,0.14754098360655737,DDIT3,True,True
DataSet_01_034,EGR3,39.0,0.050913838120104436,2.0,32,0.09302325581395349,HAND1,False,True
DataSet_01_036,ETV1,751.0,0.9804177545691906,5.0,22,0.1,ZBTB33,True,True
DataSet_01_037,TP53,561.0,0.7323759791122716,6.0,980,0.1970649895178197,SP1,True,True
DataSet_01_038,TP53,2.0,0.0026109660574412533,1.0,980,0.1970649895178197,SP1,False,False
DataSet_01_042,POU5F1,1.0,0.0013054830287206266,1.0,95,0.21875,NANOG,False,False
DataSet_01_044,MYB,19.0,0.024804177545691905,1.0,183,0.13513513513513514,ETS2,False,False
DataSet_01_049,STAT3,211.0,0.2754569190600522,1.0,437,0.1967741935483871,STAT1,True,False
DataSet_01_051,RARA,762.0,0.9947780678851175,6.0,187,0.15503875968992248,RXRA,True,True
DataSet_01_053,TFAP2C,2.0,0.0026109660574412533,1.0,35,0.08695652173913043,RARG,False,False
DataSet_01_058,BACH1,1.0,0.0013054830287206266,1.0,16,0.15,NFE2L3,False,False
DataSet_01_059,BACH1,1.0,0.0013054830287206266,1.0,16,0.15,NFE2L3,False,False
DataSet_01_060,NFE2L2,2.0,0.0026109660574412533,1.0,204,0.10486891385767791,NRF1,False,False
DataSet_01_068,TP53,44.0,0.057441253263707574,1.0,980,0.1970649895178197,SP1,False,False
DataSet_01_071,ELF5,323.0,0.4216710182767624,1.0,11,0.07317073170731707,ELF3,True,False
DataSet_01_073,ZNF148,2.0,0.0026109660574412533,1.0,31,0.09090909090909091,VENTX,False,False
DataSet_01_074,CEBPD,178.0,0.23237597911227154,4.0,97,0.16602316602316602,CEBPG,True,True
DataSet_01_075,CEBPZ,400.0,0.5221932114882507,3.0,19,0.1,ID3,True,True
DataSet_01_076,ETS1,339.0,0.4425587467362924,1.0,216,0.2111111111111111,ETS2,True,False
DataSet_01_077,FOXM1,188.0,0.2454308093994778,3.0,97,0.12605042016806722,ONECUT1,True,True
DataSet_01_078,HSF2,77.0,0.10052219321148825,1.0,26,0.15625,HSF4,True,False
DataSet_01_079,MITF,120.0,0.1566579634464752,2.0,112,0.09770114942528736,ID1,True,True
DataSet_01_080,RELA,30.0,0.0391644908616188,6.0,560,0.5608214849921012,NFKB1,False,True
DataSet_01_081,SP1,1.0,0.0013054830287206266,1.0,1304,0.2903703703703704,SP3,False,False
DataSet_01_083,STAT1,221.0,0.2885117493472585,6.0,305,0.1967741935483871,STAT3,True,True
DataSet_01_084,STAT3,99.0,0.12924281984334204,2.0,437,0.1967741935483871,STAT1,True,True
DataSet_01_085,STAT6,183.0,0.23890339425587467,3.0,127,0.13432835820895522,BCL6,True,True
DataSet_01_086,HIF1A,1.0,0.0013054830287206266,1.0,463,0.16429495472186287,STAT3,False,False
DataSet_01_088,FOXP1,55.0,0.07180156657963446,1.0,33,0.12195121951219512,HOXB13,False,False
DataSet_01_089,NR2F2,348.0,0.45430809399477806,4.0,79,0.20175438596491227,NR2F1,True,True
DataSet_01_090,NR2F2,328.0,0.4281984334203655,1.0,79,0.20175438596491227,NR2F1,True,False
DataSet_01_091,ETV6,749.0,0.9778067885117493,6.0,27,0.09615384615384616,KLF1,True,True
DataSet_01_094,NANOG,58.0,0.07571801566579635,2.0,61,0.21875,POU5F1,False,True
DataSet_01_095,POU5F1,6.0,0.007832898172323759,1.0,95,0.21875,NANOG,False,False
DataSet_01_096,SOX2,1.0,0.0013054830287206266,1.0,91,0.19230769230769232,POU5F1,False,False
DataSet_01_098,SALL4,48.0,0.06266318537859007,1.0,21,0.10714285714285714,FEZF1,False,False
DataSet_01_099,FOS,677.0,0.8838120104438643,1.0,344,0.31675392670157065,JUN,True,False
DataSet_01_101,IRF6,98.0,0.1279373368146214,2.0,16,0.1,PAWR,True,True
DataSet_01_103,HNF1B,14.0,0.018276762402088774,2.0,65,0.1724137931034483,ONECUT1,False,True
DataSet_01_105,FOXA1,38.0,0.04960835509138381,1.0,70,0.19883040935672514,FOXA2,False,False
DataSet_01_112,HSF1,184.0,0.2402088772845953,2.0,103,0.1415929203539823,HSF2,True,True
DataSet_01_114,ARID1A,605.0,0.7898172323759791,6.0,8,0.21428571428571427,PBRM1,True,True
DataSet_01_117,ID1,607.0,0.7924281984334204,4.0,79,0.19791666666666666,ID3,True,True
DataSet_01_118,ID1,64.0,0.0835509138381201,2.0,79,0.19791666666666666,ID3,False,True
DataSet_01_121,ZIC2,397.0,0.5182767624020888,4.0,7,0.14285714285714285,MEIS2,True,True
DataSet_01_123,ZNF91,360.0,0.4699738903394256,4.0,49,0.08620689655172414,ZKSCAN7,True,True
DataSet_01_132,EGR4,40.0,0.05221932114882506,1.0,15,0.10526315789473684,HIVEP3,False,False
DataSet_01_135,SPDEF,38.0,0.04960835509138381,1.0,20,0.13636363636363635,PA2G4,False,False
DataSet_01_136,REST,1.0,0.0013054830287206266,1.0,75,0.0625,NR4A2,False,False
DataSet_01_138,IKZF1,741.0,0.9673629242819843,6.0,52,0.12,STAT4,True,True
DataSet_01_142,LEF1,22.0,0.028720626631853787,2.0,120,0.17302798982188294,CTNNB1,False,True
DataSet_01_145,REST,1.0,0.0013054830287206266,1.0,75,0.0625,NR4A2,False,False
DataSet_01_147,EHF,300.0,0.391644908616188,4.0,13,0.125,VENTX,True,True
DataSet_01_148,MYBL2,71.0,0.0926892950391645,2.0,53,0.11320754716981132,MYB,False,True
DataSet_01_149,ETS2,644.0,0.8407310704960835,5.0,111,0.2111111111111111,ETS1,True,True
DataSet_01_150,TFAP2C,3.0,0.0039164490861618795,1.0,35,0.08695652173913043,RARG,False,False
DataSet_01_151,TEAD4,27.0,0.03524804177545692,1.0,12,0.125,HIF3A,False,False
DataSet_01_154,STAT1,316.0,0.412532637075718,6.0,305,0.1967741935483871,STAT3,True,True
DataSet_01_155,HSF1,6.0,0.007832898172323759,2.0,103,0.1415929203539823,HSF2,False,True
DataSet_01_156,HIF1A,109.0,0.1422976501305483,1.0,463,0.16429495472186287,STAT3,True,False
DataSet_01_162,ELK1,226.0,0.2950391644908616,2.0,61,0.11258278145695365,SRF,True,True
DataSet_01_164,JUN,19.0,0.024804177545691905,1.0,662,0.4134831460674157,AP1,False,False
DataSet_01_165,MAF,21.0,0.02741514360313316,2.0,65,0.11494252873563218,STAT4,False,True
DataSet_01_166,NFATC3,531.0,0.6932114882506527,6.0,41,0.12,NFATC4,True,True
DataSet_01_168,STAT3,2.0,0.0026109660574412533,1.0,437,0.1967741935483871,STAT1,False,False
DataSet_01_169,HOXB7,86.0,0.1122715404699739,1.0,23,0.10344827586206896,HOXA11,True,False
DataSet_01_170,HOXB7,739.0,0.9647519582245431,5.0,23,0.10344827586206896,HOXA11,True,True
DataSet_01_171,FOSL1,401.0,0.5234986945169713,3.0,51,0.19402985074626866,JUNB,True,True
DataSet_01_173,ESRRG,96.0,0.12532637075718014,2.0,29,0.18181818181818182,ESRRA,True,True
DataSet_01_175,TP53,4.0,0.005221932114882507,1.0,980,0.1970649895178197,SP1,False,False
DataSet_01_176,NR2F2,14.0,0.018276762402088774,1.0,79,0.20175438596491227,NR2F1,False,False
DataSet_01_177,NR2F2,15.0,0.0195822454308094,1.0,79,0.20175438596491227,NR2F1,False,False
DataSet_01_180,STAT3,735.0,0.9595300261096605,1.0,437,0.1967741935483871,STAT1,True,False
DataSet_01_183,TP63,26.0,0.033942558746736295,1.0,206,0.21611721611721613,TP73,False,False
DataSet_01_184,STAT3,4.0,0.005221932114882507,1.0,437,0.1967741935483871,STAT1,False,False
DataSet_01_185,TCF4,586.0,0.7650130548302873,4.0,58,0.18243243243243243,TCF7L2,True,True
DataSet_01_189,SPDEF,175.0,0.22845953002610966,2.0,20,0.13636363636363635,PA2G4,True,True
DataSet_01_192,AR,276.0,0.360313315926893,2.0,514,0.17023445463812437,ESR1,True,True
DataSet_01_196,TP63,87.0,0.11357702349869452,2.0,206,0.21611721611721613,TP73,True,True
DataSet_01_198,TP63,58.0,0.07571801566579635,2.0,206,0.21611721611721613,TP73,False,True
DataSet_01_200,TP63,178.0,0.23237597911227154,1.0,206,0.21611721611721613,TP73,True,False
DataSet_01_203,XBP1,150.0,0.195822454308094,2.0,57,0.12745098039215685,ATF6,True,True
DataSet_01_204,XBP1,17.0,0.022193211488250653,2.0,57,0.12745098039215685,ATF6,False,True
DataSet_01_211,REST,1.0,0.0013054830287206266,1.0,75,0.0625,NR4A2,False,False
DataSet_01_213,SOX11,91.0,0.11879895561357702,2.0,12,0.058823529411764705,POU4F3,True,True
DataSet_01_214,BCLAF1,16.0,0.020887728459530026,1.0,9,0.07692307692307693,TBX10,False,False
DataSet_01_217,TAL1,65.0,0.08485639686684072,2.0,96,0.09565217391304348,LMO2,False,True
DataSet_01_220,HIF1A,9.0,0.01174934725848564,1.0,463,0.16429495472186287,STAT3,False,False
DataSet_01_222,KLF9,335.0,0.43733681462140994,2.0,26,0.1111111111111111,KLF13,True,True
DataSet_01_223,FOXM1,33.0,0.04308093994778068,1.0,97,0.12605042016806722,ONECUT1,False,False
DataSet_01_224,HIF1A,22.0,0.028720626631853787,1.0,463,0.16429495472186287,STAT3,False,False
DataSet_01_226,KLF2,341.0,0.4451697127937337,3.0,67,0.1111111111111111,SIRT1,True,True
DataSet_01_228,HIF1A,11.0,0.014360313315926894,1.0,463,0.16429495472186287,STAT3,False,False
DataSet_01_233,FOXA1,111.0,0.14490861618798956,1.0,70,0.19883040935672514,FOXA2,True,False
