Data Index,ULM_CollecTRI,AUCell_CollecTRI,VIPER_CollecTRI,Consensus_CollecTRI,GSEA_CollecTRI,GSVA_CollecTRI,MDT_CollecTRI,MLM_CollecTRI,ORA_CollecTRI,UDT_CollecTRI,WAGGR_CollecTRI,Zscore_CollecTRI,ULM_TFLink,AUCell_TFLink,VIPER_TFLink,Consensus_TFLink,GSEA_TFLink,GSVA_TFLink,MDT_TFLink,MLM_TFLink,ORA_TFLink,UDT_TFLink,WAGGR_TFLink,Zscore_TFLink,ULM_ChIP-Atlas,AUCell_ChIP-Atlas,VIPER_ChIP-Atlas,Consensus_ChIP-Atlas,GSEA_ChIP-Atlas,GSVA_ChIP-Atlas,MDT_ChIP-Atlas,ORA_ChIP-Atlas,UDT_ChIP-Atlas,Zscore_ChIP-Atlas,pySCENIC,PISCES,hdWGCNA,scMINER,TIGER_DoRothEA,TIGER_CollecTRI,TIGER_ChIP-Atlas,metaTF_Prior,metaTF_PUIC,metaTF_Merge,scRegulate_CollecTRI,scRegulate_TFLink,scRegulate_ChIP-Atlas,MLM_ChIP-Atlas,WAGGR_ChIP-Atlas,UCell_TFLink,UCell_CollecTRI,UCell_ChIP-Atlas,metaTF_AUCell,metaTF_UCell,metaTF_ULM,metaTF_VIPER,pySCENIC_AUCell,pySCENIC_UCell,pySCENIC_ULM,pySCENIC_VIPER,pySCENIC_v9
UPR_epistasis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pilot,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
exp10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
exp7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,5.0,6.0,,6.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0
PRJNA595864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
RPE1_essential,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,10.0,21.0,12.0,21.0,20.0,19.0,20.0,21.0,21.0,20.0,13.0,6.0,19.0,,19.0,12.0,16.0,19.0,20.0,20.0,20.0,20.0,10.0,10.0,10.0,10.0,16.0
K562_essential,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,12.0,9.0,12.0,11.0,10.0,12.0,11.0,12.0,12.0,7.0,1.0,12.0,12.0,12.0,4.0,9.0,12.0,12.0,12.0,12.0,12.0,7.0,7.0,7.0,7.0,9.0
Dox,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mock,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
k562_tfs_7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
PRJNA524331,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,10.0,20.0,14.0,20.0,19.0,20.0,17.0,20.0,20.0,20.0,12.0,6.0,15.0,,17.0,11.0,19.0,17.0,20.0,20.0,20.0,20.0,10.0,10.0,10.0,10.0,13.0
WTX_DIFFEX,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
exp8,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,16.0,16.0,16.0,16.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,12.0,22.0,15.0,23.0,28.0,27.0,26.0,27.0,28.0,28.0,18.0,10.0,23.0,,25.0,14.0,26.0,24.0,28.0,28.0,28.0,28.0,12.0,12.0,12.0,12.0,12.0
PRJNA551220,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,19.0,19.0,19.0,19.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,18.0,38.0,25.0,38.0,,,,38.0,41.0,41.0,17.0,13.0,30.0,,34.0,18.0,31.0,33.0,41.0,41.0,41.0,41.0,18.0,18.0,18.0,17.0,20.0
CRISPRa,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,7.0,6.0,7.0,7.0,7.0,3.0,6.0,7.0,7.0,2.0,0.0,3.0,,3.0,1.0,6.0,3.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,3.0
pilot_14,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,6.0,8.0,7.0,9.0,10.0,7.0,9.0,11.0,11.0,6.0,3.0,7.0,,7.0,5.0,9.0,7.0,11.0,11.0,11.0,11.0,2.0,2.0,2.0,2.0,3.0
extend_61,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,15.0,15.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,13.0,13.0,6.0,11.0,13.0,11.0,15.0,15.0,13.0,15.0,15.0,15.0,13.0,6.0,12.0,,13.0,10.0,15.0,12.0,15.0,15.0,15.0,15.0,6.0,6.0,6.0,6.0,8.0
