Index,ULM_CollecTRI,random,AUCell_CollecTRI,VIPER_CollecTRI,Consensus_CollecTRI,GSEA_CollecTRI,GSVA_CollecTRI,MDT_CollecTRI,MLM_CollecTRI,ORA_CollecTRI,UDT_CollecTRI,WAGGR_CollecTRI,Zscore_CollecTRI,ULM_TFLink,AUCell_TFLink,VIPER_TFLink,Consensus_TFLink,GSEA_TFLink,GSVA_TFLink,MDT_TFLink,MLM_TFLink,ORA_TFLink,UDT_TFLink,WAGGR_TFLink,Zscore_TFLink,ULM_ChIP-Atlas,AUCell_ChIP-Atlas,VIPER_ChIP-Atlas,Consensus_ChIP-Atlas,GSEA_ChIP-Atlas,GSVA_ChIP-Atlas,MDT_ChIP-Atlas,ORA_ChIP-Atlas,UDT_ChIP-Atlas,Zscore_ChIP-Atlas,pySCENIC,PISCES,hdWGCNA,scMINER,TIGER_DoRothEA,TIGER_CollecTRI,TIGER_ChIP-Atlas,metaTF_Prior,metaTF_PUIC,metaTF_Merge,scRegulate_CollecTRI,scRegulate_TFLink,scRegulate_ChIP-Atlas,MLM_ChIP-Atlas,WAGGR_ChIP-Atlas,UCell_TFLink,UCell_CollecTRI,UCell_ChIP-Atlas,metaTF_AUCell,metaTF_UCell,metaTF_ULM,metaTF_VIPER,pySCENIC_AUCell,pySCENIC_UCell,pySCENIC_ULM,pySCENIC_VIPER,pySCENIC_v9
ADNP__PRJNA595864,,0.1271186440677966,,,,,,,,,,,,,,,,,,,,,,,,0.0932203389830508,0.1016949152542373,0.1101694915254237,0.0847457627118644,0.1016949152542373,0.0932203389830508,0.1186440677966101,0.1186440677966101,0.0932203389830508,0.0932203389830508,,0.1440677966101695,,0.0701754385964912,0.0932203389830508,0.1186440677966101,0.0677966101694915,0.1525423728813559,0.1016949152542373,0.1271186440677966,,,0.0677966101694915,,0.0847457627118644,,,0.1186440677966101,0.1694915254237288,0.1440677966101695,0.1186440677966101,0.1271186440677966,,,,,
AHR__PRJNA551220,0.0260869565217391,0.0108695652173913,0.0282608695652173,0.0260869565217391,0.0282608695652173,0.017391304347826,0.0195652173913043,0.0152173913043478,0.0260869565217391,0.0108695652173913,0.0217391304347826,0.0239130434782608,0.0282608695652173,0.0304347826086956,0.0239130434782608,0.0369565217391304,0.0304347826086956,0.0195652173913043,0.0195652173913043,0.0347826086956521,,0.0217391304347826,0.0304347826086956,0.0369565217391304,0.0304347826086956,0.0717391304347826,0.05,0.0478260869565217,0.05,0.0130434782608695,0.0391304347826087,0.008695652173913,0.0108695652173913,0.0717391304347826,0.0717391304347826,,0.0153846153846153,,0.0419426048565121,,,,0.0304347826086956,0.0043478260869565,0.2934782608695652,0.0108695652173913,0.067391304347826,0.0282608695652173,,0.0717391304347826,0.0304347826086956,0.017391304347826,0.05,0.3108695652173913,0.3543478260869565,0.3304347826086956,0.2804347826086956,,,,,
ASCL1__exp8,0.0958083832335329,0.0059880239520958,0.1017964071856287,0.0838323353293413,0.0958083832335329,0.0239520958083832,0.0538922155688622,0.0359281437125748,0.0838323353293413,0.0179640718562874,0.1017964071856287,0.1017964071856287,0.0898203592814371,0.029940119760479,0.0179640718562874,0.0239520958083832,0.0239520958083832,0.0179640718562874,0.0239520958083832,0.0359281437125748,,0.0179640718562874,0.0359281437125748,0.0239520958083832,0.029940119760479,0.0419161676646706,0.0359281437125748,0.029940119760479,0.029940119760479,0.0119760479041916,0.0419161676646706,0.0179640718562874,0.0119760479041916,0.0419161676646706,0.0419161676646706,0.0479041916167664,,0.0778443113772455,,0.0479041916167664,0.1257485029940119,0.0718562874251497,0.0419161676646706,0.029940119760479,0.1017964071856287,0.0359281437125748,,0.0059880239520958,,0.0538922155688622,,0.0718562874251497,0.029940119760479,0.1377245508982036,0.1437125748502994,0.0958083832335329,0.0838323353293413,0.0359281437125748,0.0479041916167664,0.0958083832335329,0.0658682634730539,0.0718562874251497
ASCL1__pilot_14,0.1079545454545454,0.0625,0.1534090909090909,0.1363636363636363,0.1107954545454545,0.0738636363636363,0.1051136363636363,0.0625,0.09375,0.0909090909090909,0.1164772727272727,0.1051136363636363,0.1051136363636363,0.1789772727272727,0.1846590909090909,0.1761363636363636,0.1875,0.2017045454545454,0.1931818181818181,0.1903409090909091,,0.0994318181818181,0.1306818181818181,0.1789772727272727,0.1789772727272727,0.2443181818181818,0.2443181818181818,0.1931818181818181,0.2613636363636363,0.0852272727272727,0.1420454545454545,0.0909090909090909,0.1164772727272727,0.2443181818181818,0.2443181818181818,,,0.0710227272727272,,0.065340909090909,0.1335227272727272,0.3011363636363636,0.1505681818181818,0.03125,0.065340909090909,0.034090909090909,,0.4147727272727273,,0.2471590909090909,0.1761363636363636,0.1278409090909091,0.21875,0.0909090909090909,0.0852272727272727,0.0795454545454545,0.0710227272727272,,,,,
ASCL3__pilot_14,,0.1282051282051282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0707395498392283,,,,,0.1458333333333333,0.1442307692307692,,,,,,,,,0.1073717948717948,0.1346153846153846,0.1137820512820512,0.1314102564102564,,,,,
ASCL4__pilot_14,,0.0798722044728434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1045751633986928,,0.0426229508196721,,0.0830670926517571,,,0.0702875399361022,0.2140575079872204,,,,,,,,,0.1853035143769968,0.1789137380191693,0.2172523961661341,0.2140575079872204,,,,,
ATF4__exp7,0.037037037037037,0.0476190476190476,0.037037037037037,0.037037037037037,0.0317460317460317,0.0529100529100529,0.037037037037037,0.0476190476190476,0.0211640211640211,0.0634920634920634,0.0423280423280423,0.0423280423280423,0.037037037037037,0.0423280423280423,0.0423280423280423,0.0317460317460317,0.037037037037037,0.0317460317460317,0.0264550264550264,0.0529100529100529,,0.0634920634920634,0.0423280423280423,0.0423280423280423,0.0423280423280423,0.0264550264550264,0.0264550264550264,0.0264550264550264,0.0264550264550264,0.0687830687830687,0.0264550264550264,0.0476190476190476,0.0582010582010582,0.0264550264550264,0.0264550264550264,0.0211640211640211,0.0264550264550264,0.0211640211640211,0.0223463687150838,0.0317460317460317,0.0211640211640211,0.0264550264550264,0.037037037037037,0.0317460317460317,0.0211640211640211,0.0634920634920634,0.0582010582010582,0.0476190476190476,,0.0264550264550264,0.0423280423280423,0.0317460317460317,0.0317460317460317,0.0105820105820105,0.0211640211640211,0.0211640211640211,0.0211640211640211,0.0317460317460317,0.0476190476190476,0.0158730158730158,0.0264550264550264,0.0264550264550264
ATF5__K562_essential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084033613445378,0.0084033613445378,0.0252100840336134,0.0,0.0,0.0,0.0084033613445378,0.0168067226890756,0.0,0.0084033613445378,0.0336134453781512,0.0,0.0084033613445378,,0.0252100840336134,0.0084033613445378,0.0084033613445378,0.0084033613445378,0.0084033613445378,0.0168067226890756,0.0252100840336134,0.0168067226890756,0.0084033613445378,0.0168067226890756,0.0,0.0084033613445378,0.0084033613445378,0.0084033613445378,0.0084033613445378,0.0,,0.009009009009009,0.0168067226890756,0.0,0.0084033613445378,0.0084033613445378,0.0168067226890756,0.0252100840336134,0.0084033613445378,,0.0756302521008403,0.0336134453781512,0.0084033613445378,,0.0,0.0168067226890756,0.0252100840336134,0.0168067226890756,0.0252100840336134,0.0252100840336134,0.0084033613445378,0.0084033613445378,0.0084033613445378,0.0084033613445378,0.0
ATF5__RPE1_essential,0.0,0.0,0.0307692307692307,0.0,0.0,0.0,0.0,0.0307692307692307,0.0,0.0,0.0,0.0,0.0,0.0153846153846153,0.0,0.0,0.0153846153846153,0.0153846153846153,0.0153846153846153,0.0,0.0307692307692307,0.0,0.0153846153846153,0.0153846153846153,0.0153846153846153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153846153846153,0.0,,0.0,,0.0317460317460317,0.123076923076923,0.0,0.0,0.0,0.0153846153846153,0.0,0.0153846153846153,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0153846153846153
ATF5__exp8,0.0979020979020979,0.0629370629370629,0.0734265734265734,0.0874125874125874,0.0664335664335664,0.0209790209790209,0.0734265734265734,0.0384615384615384,0.1083916083916083,0.0244755244755244,0.0629370629370629,0.0839160839160839,0.0979020979020979,0.0279720279720279,0.0209790209790209,0.0349650349650349,0.0314685314685314,0.0314685314685314,0.0349650349650349,0.0279720279720279,,0.0594405594405594,0.0279720279720279,0.0314685314685314,0.0279720279720279,0.0244755244755244,0.0279720279720279,0.0314685314685314,0.0384615384615384,0.0139860139860139,0.0244755244755244,0.0209790209790209,0.0174825174825174,0.0244755244755244,0.0244755244755244,0.1258741258741259,0.0314685314685314,,0.0183150183150183,0.0244755244755244,0.0839160839160839,0.0314685314685314,0.0244755244755244,0.0209790209790209,0.3496503496503496,0.0244755244755244,,0.0349650349650349,,0.0279720279720279,0.0279720279720279,0.0664335664335664,0.0349650349650349,0.6328671328671329,0.6258741258741258,0.6048951048951049,0.3601398601398601,0.0874125874125874,0.0874125874125874,0.0804195804195804,0.0594405594405594,0.2097902097902098
