Index,ULM_CollecTRI,random,AUCell_CollecTRI,VIPER_CollecTRI,Consensus_CollecTRI,GSEA_CollecTRI,GSVA_CollecTRI,MDT_CollecTRI,MLM_CollecTRI,ORA_CollecTRI,UDT_CollecTRI,WAGGR_CollecTRI,Zscore_CollecTRI,ULM_TFLink,AUCell_TFLink,VIPER_TFLink,Consensus_TFLink,GSEA_TFLink,GSVA_TFLink,MDT_TFLink,MLM_TFLink,ORA_TFLink,UDT_TFLink,WAGGR_TFLink,Zscore_TFLink,ULM_ChIP-Atlas,AUCell_ChIP-Atlas,VIPER_ChIP-Atlas,Consensus_ChIP-Atlas,GSEA_ChIP-Atlas,GSVA_ChIP-Atlas,MDT_ChIP-Atlas,ORA_ChIP-Atlas,UDT_ChIP-Atlas,Zscore_ChIP-Atlas,pySCENIC,PISCES,hdWGCNA,scMINER,TIGER_DoRothEA,TIGER_CollecTRI,TIGER_ChIP-Atlas,metaTF_Prior,metaTF_PUIC,metaTF_Merge,scRegulate_CollecTRI,scRegulate_TFLink,scRegulate_ChIP-Atlas,MLM_ChIP-Atlas,WAGGR_ChIP-Atlas,UCell_TFLink,UCell_CollecTRI,UCell_ChIP-Atlas,metaTF_AUCell,metaTF_UCell,metaTF_ULM,metaTF_VIPER,pySCENIC_AUCell,pySCENIC_UCell,pySCENIC_ULM,pySCENIC_VIPER,pySCENIC_v9
ADNP__PRJNA595864,,0.1077937463563813,,,,,,,,,,,,,,,,,,,,,,,,0.1374949526007527,0.1418268647772044,0.1193526654766773,0.1399159250279523,0.1283388905862049,0.1230821752723423,0.1044532211994561,0.1156103301254105,0.1374949526007527,0.1374949526007527,,0.1120752169260195,,0.1228413989759232,0.1343977090872911,0.1146146300913569,0.117038484714257,0.1060957346305273,0.1055059977695424,0.1281788537433384,,,0.1412998637147846,,0.1372218055393739,,,0.1382172937507055,0.1128914223721284,0.1188944670748469,0.1233732816385103,0.1284196900941919,,,,,
AHR__PRJNA551220,0.0383901855713663,0.0370492681322715,0.0472922588927411,0.0417638173351389,0.0431859835219065,0.0335212192896343,0.0383639928831541,0.042865609389187,0.0407061880138223,0.0331488050559063,0.0461200109566328,0.0389762977150048,0.039782992831089,0.0405239842511849,0.0401226558860833,0.0381981017945732,0.0396504301824481,0.0563511263739717,0.036214032548835,0.0505407063906679,,0.037738944950365,0.0441231136687253,0.0409403631098215,0.0405239842511849,0.081211447626938,0.0834992198960349,0.0600863615824369,0.0672776110558514,0.0400989923043964,0.0466291423291489,0.0396503501483998,0.0393304553789178,0.0813335215543273,0.081211447626938,,0.0319706618041042,,0.1107580642681732,,,,0.0413541154761554,0.0244090772816475,0.5540706711630966,0.0273478460747212,0.0591665323064117,0.0383371044500345,,0.0802828842975341,0.0382502642510154,0.0350792065635527,0.0654731242888301,0.4140811468507007,0.4624437448308747,0.6153833263542721,0.5421393995512339,,,,,
ASCL1__exp8,0.1447494893860361,0.069802706000381,0.1362776351356044,0.116587115019617,0.1318745772720685,0.0831743772244144,0.1045939372425437,0.1148703319383854,0.0944693870842356,0.063249669322849,0.1485458938930512,0.1497128242436265,0.1458233368469211,0.07415461561248,0.0650817018902345,0.0756887496498064,0.0717131480294843,0.0691568242991754,0.0723734459248307,0.0611000275135996,,0.0641074856046065,0.0637468773564116,0.0754807935912587,0.07415461561248,0.0769104951158607,0.0799737300975667,0.07129437871107,0.0865833948959466,0.0657019617622293,0.0658378686965996,0.0837210985701415,0.0585111894747958,0.0769104951158607,0.0769104951158607,0.0965961119127766,,0.1036176175537027,,0.0766585866892796,0.1747403210135288,0.1370260260487624,0.1043306692066649,0.0593448430123099,0.1982589087318279,0.1009656861390385,,0.0639107341938004,,0.0768904468366011,,0.1166498836383736,0.0645353998935127,0.2269563106851644,0.2357486324719327,0.2084214893443782,0.19499965959185,0.0840050138115036,0.0898817371149084,0.1260692400192107,0.1001998919080307,0.1018347338000571
ASCL1__pilot_14,0.3093019957008851,0.2109272949173835,0.3504439098509398,0.2971788702371606,0.3086352522611268,0.2085965374323951,0.2906149157082236,0.2302045216726649,0.2824552963961437,0.2162409917892374,0.3356102207953483,0.3081779736809186,0.3134873413340173,0.3170275606494158,0.2719539983948293,0.3154083671126116,0.3270710897916867,0.2792528969449215,0.3023526846505884,0.2805016698800401,,0.2172839506172839,0.2456738171197444,0.3185557019946072,0.3170275606494158,0.3353849727239233,0.3536728144404587,0.2929781668223436,0.3573627809132481,0.2147920238499326,0.2366762253873262,0.2180515214569496,0.2130961219716443,0.3353849727239233,0.3353849727239233,,,0.236905242498142,,0.2122184418851456,0.3619419114619459,0.463415336134373,0.2722779698850558,0.1726152363066491,0.2170263813063954,0.1742945922806257,,0.5558969448727167,,0.3317552275042816,0.2738878160184471,0.2817182749922501,0.3249277376041981,0.2298252579496355,0.2386171525040807,0.2243585389503313,0.2251671240542171,,,,,
ASCL3__pilot_14,,0.325158151331876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3024010530450973,,,,,0.336832453273454,0.3607634484961273,,,,,,,,,0.3251666281691027,0.3415077263628358,0.3528445253284704,0.3561382223527873,,,,,
ASCL4__pilot_14,,0.1961158516284687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2322112963195181,,0.2352504419391985,,0.2028379101457383,,,0.2020254890175377,0.4183704896088238,,,,,,,,,0.3092453481523809,0.3260928497663823,0.4191873782839483,0.4144876454346322,,,,,
ATF4__exp7,0.1151960375867322,0.0926189853310849,0.1043615036138067,0.1187112733286696,0.113297965489159,0.0989846933240024,0.1116978253714532,0.0908762188787237,0.1080146458541389,0.1032589700774184,0.0935695786118722,0.1147847853447826,0.1181179686603356,0.0949130759150343,0.0958880418614533,0.0980616337024811,0.0937634053234389,0.0910857121485204,0.1013198716930017,0.0857422469368111,,0.0977936965209839,0.1106199047548757,0.0949815270416692,0.0949130759150343,0.1067425963088877,0.1101279675403612,0.1037275719230739,0.1135974672439538,0.1075526377169996,0.1039437294769122,0.1130320325028043,0.0893316051756369,0.1067425963088877,0.1067425963088877,0.107869585171752,0.1003312806354558,0.1011613102422165,0.1224148030759254,0.1086362728457723,0.1251264932589202,0.10925006305749,0.1136894103783998,0.0947271645750054,0.1301943679210334,0.0853736546106122,0.0840319125764028,0.0911411776833449,,0.1072576829046599,0.0959703185452973,0.0980280478786666,0.1151035166541674,0.1285900959051539,0.1405561794393101,0.1344386286202969,0.1312175402750321,0.1070725386315009,0.1147750400731531,0.110460782551296,0.0993840976287256,0.0990223209953813
ATF5__K562_essential,0.0240689512748952,0.0130808855437576,0.0760732867079315,0.0168193904358472,0.0314566920775277,0.0133145290035296,0.0455682578507896,0.0234367220463781,0.0282971891998488,0.0111174593393451,0.0236599390142076,0.0232084978344022,0.0245948466407851,0.0116865414843508,0.010500302777626,0.011606822641382,0.0111813298131949,0.0104238869548108,0.0108430555481301,0.0146543636295185,,0.0109801506520249,0.0133253995601154,0.0117704863667968,0.0116865414843508,0.0365805650058571,0.0359236627781054,0.0195680063934452,0.0315514834433368,0.0118157842900192,0.0253870009354208,0.011436439651998,0.0106257043507957,0.0226923040889736,0.0365805650058571,0.0112458271061274,0.0078744471208392,,0.0075158829489728,0.0109693423760266,0.0158547183372674,0.0108607902271639,0.0138404737391388,0.013786659652139,0.0107164455000796,0.0096204009352021,,0.0098922827246047,0.0123635252811197,0.0364838719506134,,0.0123290326145559,0.0201544050714759,0.0108774716709513,0.0095437820835737,0.0103922213687479,0.0112122197870069,0.0112838086852658,0.0125577215521484,0.0217654528647194,0.0164257768801016,0.0091637952076364
ATF5__RPE1_essential,0.0223092107430449,0.0068397827788195,0.0613888113786017,0.0121852853482862,0.0301366239316921,0.0093618203533153,0.0141146663910333,0.0186416390103629,0.0172138914165802,0.0111278465124618,0.04098065613073,0.0239160207288062,0.0231995923517005,0.0070559227116447,0.0060462015183353,0.0070003237712464,0.0074890641575928,0.0066228434682466,0.0074282951601127,0.0090516278022781,0.0048876896135178,0.0056277056277056,0.0054588197128348,0.0071275308523993,0.0070559227116447,0.030101590904118,0.1062664661514359,0.0183090951494419,0.0237699592985353,0.0106902359681187,0.0233068560907671,0.0045628032523797,0.0068532614691642,0.0041590318231618,0.030101590904118,,0.0077445348911526,,0.0111256545737351,0.0029753985506608,0.0085309082378678,0.0119429469888047,0.0115229650316894,0.0054075230651884,0.0109776118952009,0.0126745003179766,,0.00502430439955,,0.0305258605884859,,0.0052191719854203,0.0178853673001323,0.1040583850979877,0.0101175654700916,0.0155131679697452,0.0054456336958374,,,,,0.0197247505841865
ATF5__exp8,0.1496710018971355,0.1129062479552801,0.1340846467259774,0.1609483315661583,0.1448999051190906,0.1207395691015716,0.1290605156655098,0.1103451119536193,0.1652663429416097,0.1008139766264989,0.1440258814101454,0.1491704019942169,0.1497107934632441,0.1034661831436619,0.1005168939745003,0.1034469594259291,0.1040684283201926,0.1168293528418822,0.109717684897183,0.1063537697217175,,0.1049926578560939,0.1015917827969749,0.1038575461235784,0.1034661831436619,0.0945372843029344,0.0987115842118489,0.0988958899466568,0.1016463598447993,0.0903097223321004,0.0953580067711012,0.1060429214513185,0.0954534826290959,0.0945372843029344,0.0945372843029344,0.1767077407354527,0.125240425630424,,0.1143731728590544,0.1037320230388227,0.1676690863837487,0.114478977966933,0.0900278753711716,0.0869661210484235,0.5853801861529605,0.1043821889074553,,0.0976210348378515,,0.0948725589966674,0.1008808683235557,0.1410691799438158,0.0922692087031268,0.7416032534993291,0.7255244341506606,0.7603113957605175,0.5924115746247073,0.1459551557272279,0.1460187498926027,0.1562462320675405,0.1282088783167622,0.2356670621789414
ATF6__UPR_epistasis,0.2866515790611855,0.2329452153367189,0.2812373553323811,0.2788172240903587,0.2834574711852667,0.2227099131750595,0.2753060426118817,0.2762480197052046,0.2936159584508077,0.2234441932834103,0.2824902469027068,0.2875503810151366,0.2879167476532744,0.2851864108997305,0.2786292950713668,0.26861205113065,0.2881576204180964,0.219577199145433,0.2852381689951975,0.2958182845612022,0.3021881481993896,0.236623171809484,0.2821230844945566,0.2861352420782857,0.2851864108997305,0.2348412711416335,0.2139804683487424,0.2462280608004639,0.2356680672783507,0.2439263663853507,0.238830195144288,0.2348303928208951,0.2268274601324828,0.2333033929477539,0.2348412711416335,0.3138413957904738,0.3427024293595748,0.2761084039811008,0.239336429613454,0.2931015584480652,0.3176089137062631,0.23311768961484,0.2466055293987259,0.2752820263986884,0.4107348014248123,0.2330410150305208,0.238910155370412,0.15386811901407,0.242969439544438,0.2333293730646031,0.2508233834595622,0.2940853182414266,0.2290387358673004,0.2395721424808032,0.2567386237452714,0.4515664347872501,0.4141666463665443,0.2864351031302799,0.2693162630052091,0.3247415052369526,0.2948302785322207,0.3277888694088416
BACH2__exp8,0.1133891731058183,0.1164631205270647,0.1139936602835829,0.1109883367822336,0.1119185327407441,0.1132097340126755,0.1121323960334845,0.1152763197005025,0.1154079359656415,0.1085034652316217,0.1217389735742827,0.1173390904859753,0.1143580130691662,,,,,,,,,,,,,0.0908194475426446,0.0918765638900653,0.0911988198020263,0.0963415022471694,0.1079490338829162,0.0982115376391126,0.0947277785188713,0.1140133519472826,0.0908194475426446,0.0908194475426446,0.1333484984644606,0.1177193657865312,0.1094963423626091,0.1171771863171725,0.114824824748198,0.103482315752781,0.0981134651324162,0.1062465391097176,0.1055922731411946,0.1337992639454589,,,0.1073016311559722,,0.0906524697893379,,0.1103108988571102,0.0910565471252124,0.1217721160923212,0.1214034011397633,0.1460016596295289,0.1460411125727876,0.1267878495344704,0.1247944017397648,0.1340397888121266,0.1313070420243342,0.1318657677710209
BHLHE40__pilot,0.1662399323956853,0.1421991514017117,0.1532197055196064,0.1666141678435458,0.1763859379216257,0.1624914227903578,0.1782307897156503,0.134925687285603,0.1663146534607884,0.1473931705595825,0.1265658954785962,0.1651929281844061,0.1705394520021294,,,,,,,,,,,,,0.1266637279967968,0.1261433213242068,0.1309248725253741,0.1240989175087927,0.1329541228992163,0.1299291245683022,0.1500479611520344,0.1499229579542274,0.1266637279967968,0.1266637279967968,0.1456933967689485,0.153074661003132,0.1524981803706148,0.1485839015511548,0.1691839774681156,0.1498456593323222,0.1671084396676042,0.1363940984350383,0.1356817429560275,0.1658227640265425,,,0.1536819610563182,0.124071592991277,0.1259021897370409,,0.1542072243775089,0.1321166826744169,0.1504935114530417,0.152959986313598,0.1714485420718627,0.1737360234303576,0.1459119442942396,0.1473467079265962,0.1736513641615774,0.1449982290032011,0.2724183608535778
CDC5L__RPE1_essential,,0.0070435243572191,,,,,,,,,,,,,,,,,,,,,,,,0.0049818192856322,0.006021910427352,0.0061593498570382,0.0055017804823163,0.0080976293469625,0.0056411709113134,0.0061449827127686,0.0081689283614084,0.0079106587155836,0.0049818192856322,,0.0271304654274162,,0.0273756315173199,0.0126996312232361,0.0058696036558866,0.006777088202103,0.003996018607846,0.009927974715822,0.0041663977992066,,,0.0050749762589372,,0.0049913013854953,,,0.0049988450086626,0.0129010835875057,0.0045781505743678,0.0045270896798836,0.0046734158436594,,,,,
CDX2__extend_61,0.2745532780509332,0.1667288796485365,0.1346252914913574,0.2308952579248614,0.2138179558506636,0.1462091364463743,0.1676846277627355,0.1399755204180119,0.174186224758736,,0.1195648658196043,0.2742901728536567,0.2680815372151539,0.217951943889309,0.1923377829236207,0.2076341018132635,0.2202942920601388,0.1734237751917056,0.2053679841849492,0.2019231695577751,,,0.2177658365890354,0.2204158033028485,0.217951943889309,0.1467679333026633,0.1426922194276345,0.1732130558472118,0.133272208515009,0.1553599364361307,0.1387416223822107,0.1226696369258334,,0.1467679333026633,0.1467679333026633,0.3451948206327714,0.2105211699363608,0.4043864330381693,0.7177341392008916,0.1626516746697591,0.2126706274029046,0.1383217438113908,0.2640264864633023,0.144279831852029,0.386602329170027,0.140436171520759,0.4104358461446293,0.1406907042941451,,0.146282005118029,0.1840391436362787,0.1709632836635905,0.1391761723701729,0.2515125858678988,0.2764316131210547,0.4186712644229091,0.4013519944048004,0.3991736919890248,0.4065364897876977,0.3454158352391287,0.3131249118160668,0.3200117646485544
