method,anchor,masked,delta
waggr,0.953372008701958,0.9511723471114334,-0.0021996615905246486
ulm,0.9572395455644188,0.9570945129320764,-0.00014503263234244557
aucell,0.6705644186608654,0.6645576504713561,-0.006006768189509293
viper,0.5079042784626542,0.5055716702924824,-0.0023326081701717793
gsea,0.1811820159535895,0.1763475948755136,-0.0048344210780758845
gsva,0.5675731206188059,0.5648416727096931,-0.0027314479091128385
mlm,0.8279550398839739,0.8201595358955766,-0.007795503988397345
ora,0.263633067440174,0.4529429538312787,0.1893098863911047
zscore,0.9874305051970026,0.9873700749335266,-6.0430263476018986e-05
consensus,0.91369349770365,0.915349286922891,0.0016557892192409218
