arm,seed,exp,tf,gene,lfc,scored
any,0,DataSet_01_006,PROX1,ST3GAL3,-0.07466,True
any,0,DataSet_01_007,NR2F2,OR7G1,0.0,True
any,0,DataSet_01_008,WT1,METTL2A,0.0,True
any,0,DataSet_01_010,TP53,FAM129A,0.51064,True
any,0,DataSet_01_011,TP53,FTSJ1,0.48103,True
any,0,DataSet_01_012,FLI1,ARFGAP3,0.78541,True
any,0,DataSet_01_013,FLI1,BTF3L4,0.0,True
any,0,DataSet_01_014,FLI1,ADSS,-1.41004,True
any,0,DataSet_01_015,FLI1,CLEC17A,0.0,True
any,0,DataSet_01_016,FLI1,SMYD4,0.0,True
any,0,DataSet_01_017,ERG,PATL2,-0.19931,True
any,0,DataSet_01_018,YY1,TRIM31,0.76706,True
any,0,DataSet_01_021,STAT1,MBD3L5,0.0,True
any,0,DataSet_01_025,MITF,NPLOC4,-0.09807,True
any,0,DataSet_01_026,PAX3,ZFP91-CNTF,0.0,True
any,0,DataSet_01_027,PAX3,RBM14,-0.31204,True
any,0,DataSet_01_029,ATM,OR52N1,0.0,False
any,0,DataSet_01_030,RELA,MIR504,0.0,True
any,0,DataSet_01_031,TP53,MOBKL1B,0.0,True
any,0,DataSet_01_033,ATF3,UCK2,0.01379,True
any,0,DataSet_01_034,EGR3,FAM46B,0.24679,True
any,0,DataSet_01_036,ETV1,SNORA11D,0.0,True
any,0,DataSet_01_037,TP53,PIKFYVE,-0.07003,True
any,0,DataSet_01_038,TP53,ABCC3,0.2,True
any,0,DataSet_01_042,POU5F1,IQGAP3,-0.03943,True
any,0,DataSet_01_043,CBFB,STXBP6,-1.97199,False
any,0,DataSet_01_044,MYB,MIR93,0.0,True
any,0,DataSet_01_045,PRDM14,ANO6,0.0,False
any,0,DataSet_01_049,STAT3,SAMD1,0.0,True
any,0,DataSet_01_051,RARA,RBM15B,0.0555,True
any,0,DataSet_01_053,TFAP2C,SRGAP2P2,0.0,True
any,0,DataSet_01_058,BACH1,CLEC2L,0.0196,True
any,0,DataSet_01_059,BACH1,C16orf45,0.02358,True
any,0,DataSet_01_060,NFE2L2,SYT2,-0.99625,True
any,0,DataSet_01_068,TP53,AKR1A1,-0.47149,True
any,0,DataSet_01_071,ELF5,MIR4318,0.0,True
any,0,DataSet_01_073,ZNF148,C11orf63,0.05807,True
any,0,DataSet_01_074,CEBPD,FLJ45983,0.0,True
any,0,DataSet_01_075,CEBPZ,LOC80054,0.0,True
any,0,DataSet_01_076,ETS1,KMO,-0.09144,True
any,0,DataSet_01_077,FOXM1,KCNB1,-0.02417,True
any,0,DataSet_01_078,HSF2,AMZ2P1,-0.35983,True
any,0,DataSet_01_079,MITF,ACAD10,0.21663,True
any,0,DataSet_01_080,RELA,C8orf85,0.0,True
any,0,DataSet_01_081,SP1,ACSBG1,-0.07123,True
any,0,DataSet_01_082,SP100,PIK3R2,-0.27836,False
any,0,DataSet_01_083,STAT1,MIR204,0.0,True
any,0,DataSet_01_084,STAT3,PAPPA2,-0.1396,True
any,0,DataSet_01_085,STAT6,EPHA10,-0.03937,True
any,0,DataSet_01_086,HIF1A,NUP62CL,0.0,True
any,0,DataSet_01_088,FOXP1,S1PR5,0.1255,True
any,0,DataSet_01_089,NR2F2,IGLL5,0.3405,True
any,0,DataSet_01_090,NR2F2,LOC283688,0.0,True
any,0,DataSet_01_091,ETV6,ZNF92,0.06077,True
any,0,DataSet_01_094,NANOG,SLC4A7,-0.40337,True
any,0,DataSet_01_095,POU5F1,ZNF365,-0.01691,True
any,0,DataSet_01_096,SOX2,IER5,0.30176,True
any,0,DataSet_01_098,SALL4,POLR2J2,0.0,True
any,0,DataSet_01_099,FOS,VTN,-0.37797,True
any,0,DataSet_01_101,IRF6,PCA3,0.04917,True
any,0,DataSet_01_103,HNF1B,SPCS1,-0.13979,True
any,0,DataSet_01_105,FOXA1,POU4F3,-0.09399,True
any,0,DataSet_01_112,HSF1,PRR20A,0.0,True
any,0,DataSet_01_114,ARID1A,ILK,-0.24074,True
any,0,DataSet_01_117,ID1,TDG,0.63232,True
any,0,DataSet_01_118,ID1,CASC5,0.02184,True
any,0,DataSet_01_121,ZIC2,MYO1C,0.38283,True
any,0,DataSet_01_123,ZNF91,RAB4B,-0.09652,True
any,0,DataSet_01_127,ZNF254,SPTY2D1,-0.06267,False
any,0,DataSet_01_128,ZNF431,MIR19B2,0.0,False
any,0,DataSet_01_132,EGR4,HSPC157,0.0,True
any,0,DataSet_01_135,SPDEF,G0S2,-0.26274,True
any,0,DataSet_01_136,REST,KPNA1,0.0171,True
