exp,tf,masked_frac
DataSet_01_006,PROX1,0.16057441253263707
DataSet_01_007,NR2F2,0.32114882506527415
DataSet_01_008,WT1,0.31592689295039167
DataSet_01_010,TP53,0.007832898172323759
DataSet_01_011,TP53,0.2989556135770235
DataSet_01_012,FLI1,0.1866840731070496
DataSet_01_013,FLI1,0.030026109660574413
DataSet_01_014,FLI1,0.14490861618798956
DataSet_01_015,FLI1,0.24673629242819844
DataSet_01_016,FLI1,0.0195822454308094
DataSet_01_017,ERG,0.26631853785900783
DataSet_01_018,YY1,0.5248041775456919
DataSet_01_021,STAT1,0.014360313315926894
DataSet_01_025,MITF,0.006527415143603133
DataSet_01_026,PAX3,0.20365535248041775
DataSet_01_027,PAX3,0.19712793733681463
DataSet_01_030,RELA,0.0026109660574412533
DataSet_01_031,TP53,0.020887728459530026
DataSet_01_033,ATF3,0.14490861618798956
DataSet_01_034,EGR3,0.04960835509138381
DataSet_01_036,ETV1,0.9804177545691906
DataSet_01_037,TP53,0.7663185378590078
DataSet_01_038,TP53,0.0013054830287206266
DataSet_01_042,POU5F1,0.0013054830287206266
DataSet_01_044,MYB,0.031331592689295036
DataSet_01_049,STAT3,0.3302872062663185
DataSet_01_051,RARA,0.9947780678851175
DataSet_01_053,TFAP2C,0.0039164490861618795
DataSet_01_058,BACH1,0.0013054830287206266
DataSet_01_059,BACH1,0.0013054830287206266
DataSet_01_060,NFE2L2,0.0026109660574412533
DataSet_01_068,TP53,0.044386422976501305
DataSet_01_071,ELF5,0.4216710182767624
DataSet_01_073,ZNF148,0.007832898172323759
DataSet_01_074,CEBPD,0.12532637075718014
DataSet_01_075,CEBPZ,0.5221932114882507
DataSet_01_076,ETS1,0.5352480417754569
DataSet_01_077,FOXM1,0.3877284595300261
DataSet_01_078,HSF2,0.28720626631853785
DataSet_01_079,MITF,0.3720626631853786
DataSet_01_080,RELA,0.04046997389033943
DataSet_01_081,SP1,0.0013054830287206266
DataSet_01_083,STAT1,0.35900783289817234
DataSet_01_084,STAT3,0.1618798955613577
DataSet_01_085,STAT6,0.3224543080939948
DataSet_01_086,HIF1A,0.0013054830287206266
DataSet_01_088,FOXP1,0.16840731070496084
DataSet_01_089,NR2F2,0.6932114882506527
DataSet_01_090,NR2F2,0.5469973890339426
DataSet_01_091,ETV6,0.9765013054830287
DataSet_01_094,NANOG,0.20757180156657964
DataSet_01_095,POU5F1,0.010443864229765013
DataSet_01_096,SOX2,0.0026109660574412533
DataSet_01_098,SALL4,0.26240208877284593
DataSet_01_099,FOS,0.8681462140992167
DataSet_01_101,IRF6,0.5469973890339426
DataSet_01_103,HNF1B,0.020887728459530026
DataSet_01_105,FOXA1,0.04960835509138381
DataSet_01_112,HSF1,0.381201044386423
DataSet_01_114,ARID1A,0.7898172323759791
DataSet_01_117,ID1,0.8211488250652742
DataSet_01_118,ID1,0.16579634464751958
DataSet_01_121,ZIC2,0.5182767624020888
DataSet_01_123,ZNF91,0.4699738903394256
DataSet_01_132,EGR4,0.05221932114882506
DataSet_01_135,SPDEF,0.1514360313315927
DataSet_01_136,REST,0.0013054830287206266
DataSet_01_138,IKZF1,0.9673629242819843
DataSet_01_142,LEF1,0.10966057441253264
DataSet_01_145,REST,0.0013054830287206266
DataSet_01_147,EHF,0.391644908616188
DataSet_01_148,MYBL2,0.19973890339425587
DataSet_01_149,ETS2,0.9569190600522193
DataSet_01_150,TFAP2C,0.009138381201044387
DataSet_01_151,TEAD4,0.03524804177545692
DataSet_01_154,STAT1,0.48433420365535246
DataSet_01_155,HSF1,0.02610966057441253
DataSet_01_156,HIF1A,0.031331592689295036
DataSet_01_162,ELK1,0.2950391644908616
DataSet_01_164,JUN,0.02741514360313316
DataSet_01_165,MAF,0.04699738903394256
DataSet_01_166,NFATC3,0.6932114882506527
DataSet_01_168,STAT3,0.0026109660574412533
DataSet_01_169,HOXB7,0.10704960835509138
DataSet_01_170,HOXB7,0.9647519582245431
DataSet_01_171,FOSL1,0.5195822454308094
DataSet_01_173,ESRRG,0.26762402088772846
DataSet_01_175,TP53,0.005221932114882507
DataSet_01_176,NR2F2,0.283289817232376
DataSet_01_177,NR2F2,0.3342036553524804
DataSet_01_180,STAT3,0.9725848563968669
DataSet_01_183,TP63,0.04308093994778068
DataSet_01_184,STAT3,0.006527415143603133
DataSet_01_185,TCF4,0.7689295039164491
DataSet_01_189,SPDEF,0.9308093994778068
DataSet_01_192,AR,0.43994778067885115
DataSet_01_196,TP63,0.1279373368146214
DataSet_01_198,TP63,0.09399477806788512
DataSet_01_200,TP63,0.2793733681462141
DataSet_01_203,XBP1,0.45822454308093996
DataSet_01_204,XBP1,0.07180156657963446
DataSet_01_211,REST,0.0013054830287206266
DataSet_01_213,SOX11,0.11879895561357702
DataSet_01_214,BCLAF1,0.5274151436031331
DataSet_01_217,TAL1,0.1475195822454308
DataSet_01_220,HIF1A,0.007832898172323759
DataSet_01_222,KLF9,0.43733681462140994
DataSet_01_223,FOXM1,0.24673629242819844
DataSet_01_224,HIF1A,0.016971279373368148
DataSet_01_226,KLF2,0.5757180156657964
DataSet_01_228,HIF1A,0.005221932114882507
DataSet_01_233,FOXA1,0.13968668407310705
DataSet_01_238,NFYB,0.08746736292428199
DataSet_01_244,ETS1,0.05613577023498695
DataSet_01_246,TLX1,0.95822454308094
DataSet_01_247,GATA6,0.10443864229765012
DataSet_01_248,SMAD2,0.17754569190600522
DataSet_01_255,YBX1,0.6710182767624021
DataSet_01_256,YBX1,0.12402088772845953
DataSet_01_257,YBX1,0.7467362924281984
DataSet_01_258,YBX1,0.2258485639686684
DataSet_01_260,SOX4,0.17885117493472585
DataSet_01_261,NFKB2,0.2793733681462141
DataSet_01_267,FOXO3,0.2989556135770235
DataSet_01_269,SIX4,0.5718015665796344
DataSet_01_277,SALL4,0.587467362924282
