exp,tf,has_self_edge,ulm,huber,ulm_masked,huber_masked,huber_weight_own_gene
DataSet_01_006,PROX1,False,0.15926892950391644,0.28067885117493474,0.16057441253263707,0.2793733681462141,0.22893675865611265
DataSet_01_007,NR2F2,True,0.26762402088772846,0.35117493472584854,0.32114882506527415,0.3981723237597911,0.1686861462189214
DataSet_01_008,WT1,True,0.4177545691906005,0.37597911227154046,0.31592689295039167,0.34203655352480417,0.10816433381654673
DataSet_01_010,TP53,True,0.009138381201044387,0.0587467362924282,0.007832898172323759,0.05613577023498695,0.17663621814255676
DataSet_01_011,TP53,True,0.283289817232376,0.5026109660574413,0.2989556135770235,0.5039164490861618,0.0014598394581785375
DataSet_01_012,FLI1,True,0.16318537859007834,0.10966057441253264,0.1866840731070496,0.1227154046997389,0.03698723048840966
DataSet_01_013,FLI1,True,0.022193211488250653,0.47127937336814624,0.030026109660574413,0.49477806788511747,0.005962938420623605
DataSet_01_014,FLI1,True,0.11096605744125326,0.45822454308093996,0.14490861618798956,0.4765013054830287,0.002311673649258567
DataSet_01_015,FLI1,True,0.22193211488250653,0.05483028720626632,0.24673629242819844,0.06788511749347259,0.06384859548207843
DataSet_01_016,FLI1,True,0.016971279373368148,0.0639686684073107,0.0195822454308094,0.0731070496083551,0.030751826460638888
DataSet_01_017,ERG,True,0.1618798955613577,0.3342036553524804,0.26631853785900783,0.391644908616188,0.14145077631224104
DataSet_01_018,YY1,True,0.5939947780678851,0.34986945169712796,0.5248041775456919,0.3302872062663185,0.13643301218057066
DataSet_01_021,STAT1,True,0.014360313315926894,0.013054830287206266,0.014360313315926894,0.014360313315926894,0.5029331660344107
DataSet_01_025,MITF,True,0.0039164490861618795,0.048302872062663184,0.006527415143603133,0.06266318537859007,0.2578070385673824
DataSet_01_026,PAX3,True,0.07702349869451697,0.048302872062663184,0.20365535248041775,0.05483028720626632,0.0747573554321522
DataSet_01_027,PAX3,True,0.12924281984334204,0.6148825065274152,0.19712793733681463,0.6618798955613577,0.17850080937466584
DataSet_01_030,RELA,True,0.0013054830287206266,0.005221932114882507,0.0026109660574412533,0.005221932114882507,0.030340023020157925
DataSet_01_031,TP53,True,0.02610966057441253,0.07180156657963446,0.020887728459530026,0.0731070496083551,0.017814838431241247
DataSet_01_033,ATF3,True,0.23368146214099217,0.09138381201044386,0.14490861618798956,0.07963446475195822,0.13187383249862702
DataSet_01_034,EGR3,False,0.050913838120104436,0.037859007832898174,0.04960835509138381,0.03655352480417755,0.11449385200324824
DataSet_01_036,ETV1,False,0.9804177545691906,0.9425587467362925,0.9804177545691906,0.9425587467362925,0.049547489777621315
DataSet_01_037,TP53,True,0.7323759791122716,0.7650130548302873,0.7663185378590078,0.7741514360313316,0.11271422967791649
DataSet_01_038,TP53,True,0.0026109660574412533,0.185378590078329,0.0013054830287206266,0.19712793733681463,0.06633048844165688
DataSet_01_042,POU5F1,True,0.0013054830287206266,0.010443864229765013,0.0013054830287206266,0.010443864229765013,0.043477603246893155
DataSet_01_044,MYB,True,0.024804177545691905,0.03655352480417755,0.031331592689295036,0.04046997389033943,0.046301704477017626
DataSet_01_049,STAT3,True,0.2754569190600522,0.4112271540469974,0.3302872062663185,0.4556135770234987,0.04134810397377999
DataSet_01_051,RARA,True,0.9947780678851175,0.9869451697127938,0.9947780678851175,0.9869451697127938,0.1486876915144807
DataSet_01_053,TFAP2C,True,0.0026109660574412533,0.07049608355091384,0.0039164490861618795,0.09530026109660575,0.036034657659914086
DataSet_01_058,BACH1,False,0.0013054830287206266,0.015665796344647518,0.0013054830287206266,0.015665796344647518,0.025437196645178434
DataSet_01_059,BACH1,False,0.0013054830287206266,0.057441253263707574,0.0013054830287206266,0.0587467362924282,0.014934907599592635
DataSet_01_060,NFE2L2,True,0.0026109660574412533,0.005221932114882507,0.0026109660574412533,0.005221932114882507,0.26150989403610686
DataSet_01_068,TP53,True,0.057441253263707574,0.10182767624020887,0.044386422976501305,0.10182767624020887,0.057166173113246385
DataSet_01_071,ELF5,False,0.4216710182767624,0.3394255874673629,0.4216710182767624,0.34203655352480417,0.05562292523218711
DataSet_01_073,ZNF148,True,0.0026109660574412533,0.2584856396866841,0.007832898172323759,0.2845953002610966,0.004001374278545048
DataSet_01_074,CEBPD,True,0.23237597911227154,0.5430809399477807,0.12532637075718014,0.5013054830287206,0.10023825019030287
DataSet_01_075,CEBPZ,False,0.5221932114882507,0.5953002610966057,0.5221932114882507,0.5953002610966057,0.10339797137129662
DataSet_01_076,ETS1,True,0.4425587467362924,0.10443864229765012,0.5352480417754569,0.11879895561357702,0.13690140594481826
DataSet_01_077,FOXM1,True,0.2454308093994778,0.2154046997389034,0.3877284595300261,0.24673629242819844,0.11997872063980572
DataSet_01_078,HSF2,True,0.10052219321148825,0.19712793733681463,0.28720626631853785,0.26762402088772846,0.15165376442476114
DataSet_01_079,MITF,True,0.1566579634464752,0.2793733681462141,0.3720626631853786,0.3263707571801567,0.051842611435367114
DataSet_01_080,RELA,True,0.0391644908616188,0.014360313315926894,0.04046997389033943,0.016971279373368148,0.15050603941433197
DataSet_01_081,SP1,True,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.16425302623675653
DataSet_01_083,STAT1,True,0.2885117493472585,0.2819843342036554,0.35900783289817234,0.2989556135770235,0.1020058271944461
DataSet_01_084,STAT3,True,0.12924281984334204,0.050913838120104436,0.1618798955613577,0.05221932114882506,0.10909750895210414
DataSet_01_085,STAT6,True,0.23890339425587467,0.4451697127937337,0.3224543080939948,0.49216710182767626,0.14159977090337572
DataSet_01_086,HIF1A,True,0.0013054830287206266,0.006527415143603133,0.0013054830287206266,0.006527415143603133,0.041108857452033125
DataSet_01_088,FOXP1,True,0.07180156657963446,0.26762402088772846,0.16840731070496084,0.35509138381201044,0.20054260649983416
DataSet_01_089,NR2F2,True,0.45430809399477806,0.5548302872062664,0.6932114882506527,0.6109660574412533,0.074312086349979
DataSet_01_090,NR2F2,True,0.4281984334203655,0.46736292428198434,0.5469973890339426,0.49216710182767626,0.12279967981498814
DataSet_01_091,ETV6,False,0.9778067885117493,0.9934725848563969,0.9765013054830287,0.9934725848563969,0.09544927786332073
DataSet_01_094,NANOG,True,0.07571801566579635,0.1919060052219321,0.20757180156657964,0.31070496083550914,0.14004298449053953
DataSet_01_095,POU5F1,True,0.007832898172323759,0.05221932114882506,0.010443864229765013,0.06135770234986945,0.04031743728246681
DataSet_01_096,SOX2,True,0.0013054830287206266,0.030026109660574413,0.0026109660574412533,0.03524804177545692,0.03144782893049645
DataSet_01_098,SALL4,True,0.06266318537859007,0.19712793733681463,0.26240208877284593,0.2989556135770235,0.185222469235058
DataSet_01_099,FOS,True,0.8838120104438643,0.7297650130548303,0.8681462140992167,0.7075718015665796,0.2674445026321179
DataSet_01_101,IRF6,True,0.1279373368146214,0.09399477806788512,0.5469973890339426,0.16971279373368145,0.07886084520012594
DataSet_01_103,HNF1B,True,0.018276762402088774,0.009138381201044387,0.020887728459530026,0.010443864229765013,0.18545158258323075
DataSet_01_105,FOXA1,False,0.04960835509138381,0.1762402088772846,0.04960835509138381,0.17754569190600522,0.26407141227950504
DataSet_01_112,HSF1,True,0.2402088772845953,0.35117493472584854,0.381201044386423,0.4046997389033943,0.11970827202154831
DataSet_01_114,ARID1A,False,0.7898172323759791,0.41383812010443866,0.7898172323759791,0.41383812010443866,0.10357710425491747
