exp,tf,in_filtered_279,profile_id,biosample,knock_method,platform,own_logfc,own_gene_measured,regulon_size,has_self_edge,self_edge_weight,frac_regulon_default,n_studymates,max_jaccard,base_rate10,base_rate5,self_edge_sign_decision,ulm_unmasked_frac,ulm_unmasked_hit10,ulm_unmasked_hit5,ulm_masked_frac,ulm_masked_hit10,ulm_masked_hit5,ulm_masked_symmetric_frac,ulm_masked_symmetric_hit10,ulm_masked_symmetric_hit5,ulm_noselfedge_frac,ulm_noselfedge_hit10,ulm_noselfedge_hit5,ulm_noother_frac,ulm_noother_hit10,ulm_noother_hit5,propagated_unmasked_frac,propagated_unmasked_hit10,propagated_unmasked_hit5,propagated_masked_frac,propagated_masked_hit10,propagated_masked_hit5
DataSet_03_001,ABL1,False,GSE31912,MCF7,siRNA,GPL570,-0.572925,True,10,False,,0.0,77,0.23076923,0.09381898454746136,0.04856512141280353,,0.7702349869451697,False,False,0.7689295039164491,False,False,0.28067885117493474,False,False,0.7702349869451697,False,False,0.7689295039164491,False,False,0.0391644908616188,True,True,0.0835509138381201,True,False
DataSet_01_283,AHR,True,GSE70200,THP-1,siRNA,GPL16686,-1.92282,True,191,True,1.0,0.5968586387434555,0,0.16888888,0.0640176600441501,0.019867549668874173,default activation,0.031331592689295036,True,True,0.037859007832898174,True,True,0.06657963446475196,True,False,0.0391644908616188,True,True,0.031331592689295036,True,True,0.02610966057441253,True,True,0.11879895561357702,False,False
DataSet_01_192,AR,True,GSE49196,R1-D567,siRNA,GPL10904,-1.3753,True,493,True,1.0,0.6815415821501014,0,0.17023446,0.15959821428571427,0.10044642857142858,default activation,0.360313315926893,False,False,0.4386422976501306,False,False,0.43342036553524804,False,False,0.46866840731070497,False,False,0.34073107049608353,False,False,0.0026109660574412533,True,True,0.7101827676240209,False,False
DataSet_01_278,AR,False,GSE68993,CWR22Pc,shRNA,GPL16686,-0.59184,True,493,True,1.0,0.6815415821501014,1,0.17023446,0.15959821428571427,0.10044642857142858,default activation,0.01174934725848564,True,True,0.010443864229765013,True,True,0.009138381201044387,True,True,0.01174934725848564,True,True,0.010443864229765013,True,True,0.013054830287206266,True,True,0.031331592689295036,True,True
DataSet_01_323,AR,False,GSE86547,CWR22Rv1,shRNA,GPL16686,-0.899,True,493,True,1.0,0.6815415821501014,0,0.17023446,0.15959821428571427,0.10044642857142858,default activation,0.17232375979112272,False,False,0.19451697127937337,False,False,0.0391644908616188,True,True,0.21409921671018275,False,False,0.16057441253263707,False,False,0.0026109660574412533,True,True,0.0391644908616188,True,True
DataSet_03_004,AR,True,GSE11428,abl cells,siRNA,GPL570,-1.84288,True,493,True,1.0,0.6815415821501014,0,0.17023446,0.15959821428571427,0.10044642857142858,default activation,0.9373368146214099,False,False,0.9503916449086162,False,False,0.9046997389033943,False,False,0.9477806788511749,False,False,0.9399477806788512,False,False,0.0013054830287206266,True,True,0.07963446475195822,True,False
DataSet_03_005,AR,True,GSE11428,LNCaP,siRNA,GPL570,-1.765544,True,493,True,1.0,0.6815415821501014,0,0.17023446,0.15959821428571427,0.10044642857142858,default activation,0.7767624020887729,False,False,0.8185378590078329,False,False,0.6631853785900783,False,False,0.8172323759791122,False,False,0.783289817232376,False,False,0.0013054830287206266,True,True,0.8694516971279374,False,False
DataSet_03_006,AR,False,GSE115270,MCF7,siRNA,GPL15207,-0.616825,True,493,True,1.0,0.6815415821501014,0,0.17023446,0.15959821428571427,0.10044642857142858,default activation,0.9007832898172323,False,False,0.912532637075718,False,False,0.7741514360313316,False,False,0.9151436031331592,False,False,0.8981723237597912,False,False,0.10704960835509138,False,False,0.9778067885117493,False,False
DataSet_03_007,AR,True,GSE32892,VCaP,siRNA,GPL570,-2.045341,True,493,True,1.0,0.6815415821501014,0,0.17023446,0.15959821428571427,0.10044642857142858,default activation,0.26240208877284593,False,False,0.36945169712793735,False,False,0.1122715404699739,False,False,0.39033942558746737,False,False,0.2362924281984334,False,False,0.0013054830287206266,True,True,0.013054830287206266,True,True
DataSet_03_008,AR,False,GSE49285,CWR22Rv1,siRNA,GPL10558,-0.3717222,True,493,True,1.0,0.6815415821501014,0,0.17023446,0.15959821428571427,0.10044642857142858,default activation,0.06266318537859007,True,False,0.0731070496083551,True,False,0.037859007832898174,True,True,0.07571801566579635,True,False,0.06005221932114883,True,False,0.0026109660574412533,True,True,0.7519582245430809,False,False
