direction,norm,alpha,top10,top5,better,worse,hub_corr
up,sum,0.5,0.5663082437275986,0.4731182795698925,0.5949820788530465,0.36917562724014336,0.8545621389572626
up,sum,0.25,0.5663082437275986,0.48028673835125446,0.6272401433691757,0.32616487455197135,0.8652704600905267
both,sum,0.25,0.5519713261648745,0.44086021505376344,0.5806451612903226,0.3835125448028674,0.917304518755204
up,sum,1.0,0.5519713261648745,0.4444444444444444,0.5842293906810035,0.3942652329749104,0.847184222863081
up,sum,2.0,0.5448028673835126,0.4336917562724014,0.5698924731182796,0.4050179211469534,0.843004021126896
both,sum,0.5,0.5340501792114696,0.4336917562724014,0.5483870967741935,0.41935483870967744,0.9209413874228137
both,sum,1.0,0.5340501792114696,0.4229390681003584,0.5304659498207885,0.4551971326164875,0.9224687432033909
both,sum,2.0,0.5232974910394266,0.4050179211469534,0.5340501792114696,0.45161290322580644,0.9231414917992804
up,mean,1.0,0.5125448028673835,0.41935483870967744,0.6129032258064516,0.32974910394265233,0.32379181950158026
up,mean,2.0,0.5125448028673835,0.3763440860215054,0.5448028673835126,0.4229390681003584,0.10481008738751009
up,mean,0.5,0.4946236559139785,0.4050179211469534,0.6487455197132617,0.25089605734767023,0.5210467634167816
both,mean,1.0,0.4910394265232975,0.3763440860215054,0.5125448028673835,0.4336917562724014,0.31854551407213183
both,mean,0.5,0.4767025089605735,0.3727598566308244,0.5412186379928315,0.34767025089605735,0.5095253268133152
up,mean,0.25,0.46953405017921146,0.3870967741935484,0.6774193548387096,0.20430107526881722,0.6001865081057931
both,mean,0.25,0.4551971326164875,0.35842293906810035,0.5913978494623656,0.2724014336917563,0.5881197085286879
both,mean,2.0,0.45161290322580644,0.34050179211469533,0.4336917562724014,0.5340501792114696,0.0727409109636006
down,mean,0.25,0.44802867383512546,0.34767025089605735,0.3906810035842294,0.46236559139784944,0.5853588995492492
down,mean,0.5,0.4336917562724014,0.33691756272401435,0.35842293906810035,0.5519713261648745,0.5019004006842859
down,sum,0.25,0.41935483870967744,0.2831541218637993,0.4265232974910394,0.5268817204301075,0.8036568540283625
down,mean,1.0,0.40860215053763443,0.2939068100358423,0.31899641577060933,0.6200716845878136,0.2880336225772618
down,sum,0.5,0.3835125448028674,0.26523297491039427,0.4050179211469534,0.5663082437275986,0.8125103701869615
down,sum,1.0,0.35125448028673834,0.22939068100358423,0.37992831541218636,0.6093189964157706,0.8163862067990465
down,sum,2.0,0.32974910394265233,0.2078853046594982,0.36200716845878134,0.6272401433691757,0.8179584336698366
down,mean,2.0,0.3225806451612903,0.1863799283154122,0.2903225806451613,0.6845878136200717,0.014030737781309421
