ulm            top10%=0.45 top5%=0.35
ulm hub_corr (mean |score| vs TF-TF degree) = 0.63
direction norm  alpha  top10  top5  better  worse  hub_corr
       up  sum   0.50   0.57  0.47    0.59   0.37      0.85
       up  sum   0.25   0.57  0.48    0.63   0.33      0.87
     both  sum   0.25   0.55  0.44    0.58   0.38      0.92
       up  sum   1.00   0.55  0.44    0.58   0.39      0.85
       up  sum   2.00   0.54  0.43    0.57   0.41      0.84
     both  sum   0.50   0.53  0.43    0.55   0.42      0.92
     both  sum   1.00   0.53  0.42    0.53   0.46      0.92
     both  sum   2.00   0.52  0.41    0.53   0.45      0.92
       up mean   1.00   0.51  0.42    0.61   0.33      0.32
       up mean   2.00   0.51  0.38    0.54   0.42      0.10
       up mean   0.50   0.49  0.41    0.65   0.25      0.52
     both mean   1.00   0.49  0.38    0.51   0.43      0.32
     both mean   0.50   0.48  0.37    0.54   0.35      0.51
       up mean   0.25   0.47  0.39    0.68   0.20      0.60
     both mean   0.25   0.46  0.36    0.59   0.27      0.59
     both mean   2.00   0.45  0.34    0.43   0.53      0.07
     down mean   0.25   0.45  0.35    0.39   0.46      0.59
     down mean   0.50   0.43  0.34    0.36   0.55      0.50
     down  sum   0.25   0.42  0.28    0.43   0.53      0.80
     down mean   1.00   0.41  0.29    0.32   0.62      0.29
     down  sum   0.50   0.38  0.27    0.41   0.57      0.81
     down  sum   1.00   0.35  0.23    0.38   0.61      0.82
     down  sum   2.00   0.33  0.21    0.36   0.63      0.82
     down mean   2.00   0.32  0.19    0.29   0.68      0.01
