variant,seed,top10,top5,better,worse
any ulm,0,0.45161290322580644,0.3548387096774194,0.0,0.0
any up sum a=0.5,0,0.5663082437275986,0.4731182795698925,0.5949820788530465,0.36917562724014336
any up sum a=0.5 SHUF,0,0.30681003584229394,0.1917562724014337,0.3426523297491039,0.63584229390681
any ulm,1,0.45161290322580644,0.3548387096774194,0.0,0.0
any up sum a=0.5,1,0.5663082437275986,0.4731182795698925,0.5949820788530465,0.36917562724014336
any up sum a=0.5 SHUF,1,0.3064516129032258,0.1917562724014337,0.34229390681003585,0.6362007168458781
any ulm,2,0.45161290322580644,0.3548387096774194,0.0,0.0
any up sum a=0.5,2,0.5663082437275986,0.4731182795698925,0.5913978494623656,0.3727598566308244
any up sum a=0.5 SHUF,2,0.3064516129032258,0.1917562724014337,0.34229390681003585,0.6365591397849462
any ulm,3,0.45161290322580644,0.3548387096774194,0.0,0.0
any up sum a=0.5,3,0.5663082437275986,0.4731182795698925,0.5949820788530465,0.36917562724014336
any up sum a=0.5 SHUF,3,0.3064516129032258,0.1917562724014337,0.3426523297491039,0.6362007168458781
any ulm,4,0.45161290322580644,0.3548387096774194,0.0,0.0
any up sum a=0.5,4,0.5663082437275986,0.4731182795698925,0.5949820788530465,0.36917562724014336
any up sum a=0.5 SHUF,4,0.30681003584229394,0.1917562724014337,0.3426523297491039,0.63584229390681
matched ulm,0,0.4551971326164875,0.35842293906810035,0.0,0.0
matched up sum a=0.5,0,0.5663082437275986,0.46953405017921146,0.5949820788530465,0.3655913978494624
matched up sum a=0.5 SHUF,0,0.3086021505376344,0.19139784946236557,0.3419354838709677,0.635483870967742
matched ulm,1,0.4444444444444444,0.35125448028673834,0.0,0.0
matched up sum a=0.5,1,0.5663082437275986,0.4731182795698925,0.5949820788530465,0.36917562724014336
matched up sum a=0.5 SHUF,1,0.3060931899641577,0.1917562724014337,0.34265232974910387,0.63584229390681
matched ulm,2,0.45161290322580644,0.3548387096774194,0.0,0.0
matched up sum a=0.5,2,0.5663082437275986,0.4731182795698925,0.5949820788530465,0.36917562724014336
matched up sum a=0.5 SHUF,2,0.30681003584229394,0.1917562724014337,0.34121863799283153,0.6379928315412187
matched ulm,3,0.45161290322580644,0.36200716845878134,0.0,0.0
matched up sum a=0.5,3,0.5663082437275986,0.46953405017921146,0.5985663082437276,0.36200716845878134
matched up sum a=0.5 SHUF,3,0.30681003584229394,0.1906810035842294,0.34301075268817205,0.63584229390681
matched ulm,4,0.4551971326164875,0.3548387096774194,0.0,0.0
matched up sum a=0.5,4,0.5663082437275986,0.4731182795698925,0.5949820788530465,0.3655913978494624
matched up sum a=0.5 SHUF,4,0.307168458781362,0.1921146953405018,0.34408602150537637,0.635483870967742
