exp,tf,ulm_frac,huber_frac,huber_weight_own_gene
DataSet_01_006,PROX1,0.15926892950391644,0.28067885117493474,0.22893675865611265
DataSet_01_007,NR2F2,0.26762402088772846,0.35117493472584854,0.1686861462189214
DataSet_01_008,WT1,0.4177545691906005,0.37597911227154046,0.10816433381654673
DataSet_01_010,TP53,0.009138381201044387,0.0587467362924282,0.17663621814255676
DataSet_01_011,TP53,0.283289817232376,0.5026109660574413,0.0014598394581785375
DataSet_01_012,FLI1,0.16318537859007834,0.10966057441253264,0.03698723048840966
DataSet_01_013,FLI1,0.022193211488250653,0.47127937336814624,0.005962938420623605
DataSet_01_014,FLI1,0.11096605744125326,0.45822454308093996,0.002311673649258567
DataSet_01_015,FLI1,0.22193211488250653,0.05483028720626632,0.06384859548207843
DataSet_01_016,FLI1,0.016971279373368148,0.0639686684073107,0.030751826460638888
DataSet_01_017,ERG,0.1618798955613577,0.3342036553524804,0.14145077631224104
DataSet_01_018,YY1,0.5939947780678851,0.34986945169712796,0.13643301218057066
DataSet_01_021,STAT1,0.014360313315926894,0.013054830287206266,0.5029331660344107
DataSet_01_025,MITF,0.0039164490861618795,0.048302872062663184,0.2578070385673824
DataSet_01_026,PAX3,0.07702349869451697,0.048302872062663184,0.0747573554321522
DataSet_01_027,PAX3,0.12924281984334204,0.6148825065274152,0.17850080937466584
DataSet_01_030,RELA,0.0013054830287206266,0.005221932114882507,0.030340023020157925
DataSet_01_031,TP53,0.02610966057441253,0.07180156657963446,0.017814838431241247
DataSet_01_033,ATF3,0.23368146214099217,0.09138381201044386,0.13187383249862702
DataSet_01_034,EGR3,0.050913838120104436,0.037859007832898174,0.11449385200324824
DataSet_01_036,ETV1,0.9804177545691906,0.9425587467362925,0.049547489777621315
DataSet_01_037,TP53,0.7323759791122716,0.7650130548302873,0.11271422967791649
DataSet_01_038,TP53,0.0026109660574412533,0.185378590078329,0.06633048844165688
DataSet_01_042,POU5F1,0.0013054830287206266,0.010443864229765013,0.043477603246893155
DataSet_01_044,MYB,0.024804177545691905,0.03655352480417755,0.046301704477017626
DataSet_01_049,STAT3,0.2754569190600522,0.4112271540469974,0.04134810397377999
DataSet_01_051,RARA,0.9947780678851175,0.9869451697127938,0.1486876915144807
DataSet_01_053,TFAP2C,0.0026109660574412533,0.07049608355091384,0.036034657659914086
DataSet_01_058,BACH1,0.0013054830287206266,0.015665796344647518,0.025437196645178434
DataSet_01_059,BACH1,0.0013054830287206266,0.057441253263707574,0.014934907599592635
DataSet_01_060,NFE2L2,0.0026109660574412533,0.005221932114882507,0.26150989403610686
DataSet_01_068,TP53,0.057441253263707574,0.10182767624020887,0.057166173113246385
DataSet_01_071,ELF5,0.4216710182767624,0.3394255874673629,0.05562292523218711
DataSet_01_073,ZNF148,0.0026109660574412533,0.2584856396866841,0.004001374278545048
DataSet_01_074,CEBPD,0.23237597911227154,0.5430809399477807,0.10023825019030287
DataSet_01_075,CEBPZ,0.5221932114882507,0.5953002610966057,0.10339797137129662
DataSet_01_076,ETS1,0.4425587467362924,0.10443864229765012,0.13690140594481826
DataSet_01_077,FOXM1,0.2454308093994778,0.2154046997389034,0.11997872063980572
DataSet_01_078,HSF2,0.10052219321148825,0.19712793733681463,0.15165376442476114
DataSet_01_079,MITF,0.1566579634464752,0.2793733681462141,0.051842611435367114
DataSet_01_080,RELA,0.0391644908616188,0.014360313315926894,0.15050603941433197
DataSet_01_081,SP1,0.0013054830287206266,0.0013054830287206266,0.16425302623675653
DataSet_01_083,STAT1,0.2885117493472585,0.2819843342036554,0.1020058271944461
DataSet_01_084,STAT3,0.12924281984334204,0.050913838120104436,0.10909750895210414
DataSet_01_085,STAT6,0.23890339425587467,0.4451697127937337,0.14159977090337572
DataSet_01_086,HIF1A,0.0013054830287206266,0.006527415143603133,0.041108857452033125
DataSet_01_088,FOXP1,0.07180156657963446,0.26762402088772846,0.20054260649983416
DataSet_01_089,NR2F2,0.45430809399477806,0.5548302872062664,0.074312086349979
DataSet_01_090,NR2F2,0.4281984334203655,0.46736292428198434,0.12279967981498814
DataSet_01_091,ETV6,0.9778067885117493,0.9934725848563969,0.09544927786332073
DataSet_01_094,NANOG,0.07571801566579635,0.1919060052219321,0.14004298449053953
DataSet_01_095,POU5F1,0.007832898172323759,0.05221932114882506,0.04031743728246681
DataSet_01_096,SOX2,0.0013054830287206266,0.030026109660574413,0.03144782893049645
DataSet_01_098,SALL4,0.06266318537859007,0.19712793733681463,0.185222469235058
DataSet_01_099,FOS,0.8838120104438643,0.7297650130548303,0.2674445026321179
DataSet_01_101,IRF6,0.1279373368146214,0.09399477806788512,0.07886084520012594
DataSet_01_103,HNF1B,0.018276762402088774,0.009138381201044387,0.18545158258323075
DataSet_01_105,FOXA1,0.04960835509138381,0.1762402088772846,0.26407141227950504
DataSet_01_112,HSF1,0.2402088772845953,0.35117493472584854,0.11970827202154831
DataSet_01_114,ARID1A,0.7898172323759791,0.41383812010443866,0.10357710425491747
DataSet_01_117,ID1,0.7924281984334204,0.8302872062663186,0.22183404879753388
DataSet_01_118,ID1,0.0835509138381201,0.07441253263707572,0.10947942020477235
DataSet_01_121,ZIC2,0.5182767624020888,0.664490861618799,0.2612102476910933
DataSet_01_123,ZNF91,0.4699738903394256,0.5456919060052219,0.08402379283177183
DataSet_01_132,EGR4,0.05221932114882506,0.45300261096605743,0.1625820779905209
DataSet_01_135,SPDEF,0.04960835509138381,0.10443864229765012,0.09113916067317904
DataSet_01_136,REST,0.0013054830287206266,0.0026109660574412533,0.038573236165270385
DataSet_01_138,IKZF1,0.9673629242819843,0.9869451697127938,0.24684110653197397
DataSet_01_142,LEF1,0.028720626631853787,0.4608355091383812,0.03206588487934183
DataSet_01_145,REST,0.0013054830287206266,0.01174934725848564,0.08022464627338492
DataSet_01_147,EHF,0.391644908616188,0.11488250652741515,0.07766996528506669
DataSet_01_148,MYBL2,0.0926892950391645,0.018276762402088774,0.07650146581132597
DataSet_01_149,ETS2,0.8407310704960835,0.8107049608355091,0.05993387484446456
DataSet_01_150,TFAP2C,0.0039164490861618795,0.020887728459530026,0.0492657203330112
DataSet_01_151,TEAD4,0.03524804177545692,0.022193211488250653,0.11747607865708438
DataSet_01_154,STAT1,0.412532637075718,0.46866840731070497,0.17121938422054914
DataSet_01_155,HSF1,0.007832898172323759,0.22193211488250653,0.08065384214032914
DataSet_01_156,HIF1A,0.1422976501305483,0.7924281984334204,0.03168067566472085
DataSet_01_162,ELK1,0.2950391644908616,0.9046997389033943,0.4187388977389331
DataSet_01_164,JUN,0.024804177545691905,0.08093994778067885,0.2692822150716882
DataSet_01_165,MAF,0.02741514360313316,0.16318537859007834,0.08758254922353195
DataSet_01_166,NFATC3,0.6932114882506527,0.8772845953002611,0.4057817591880299
DataSet_01_168,STAT3,0.0026109660574412533,0.009138381201044387,1.0
DataSet_01_169,HOXB7,0.1122715404699739,0.660574412532637,0.0860368442417875
DataSet_01_170,HOXB7,0.9647519582245431,0.9099216710182768,0.11058838809839606
DataSet_01_171,FOSL1,0.5234986945169713,0.13185378590078328,0.12553809237851873
DataSet_01_173,ESRRG,0.12532637075718014,0.43994778067885115,0.07623709755849907
DataSet_01_175,TP53,0.005221932114882507,0.0783289817232376,0.12467307567406316
DataSet_01_176,NR2F2,0.018276762402088774,0.1906005221932115,0.04253595960174211
DataSet_01_177,NR2F2,0.0195822454308094,0.2650130548302872,0.036516410445852125
DataSet_01_180,STAT3,0.9595300261096605,0.9778067885117493,0.08271405993637217
DataSet_01_183,TP63,0.033942558746736295,0.3002610966057441,0.13179201097862275
DataSet_01_184,STAT3,0.005221932114882507,0.02349869451697128,0.04998162416456381
DataSet_01_185,TCF4,0.7650130548302873,0.7245430809399478,0.10497758613161005
DataSet_01_189,SPDEF,0.22845953002610966,0.5704960835509139,0.058652747121719466
DataSet_01_192,AR,0.360313315926893,0.5939947780678851,0.05859305952191921
DataSet_01_196,TP63,0.11357702349869452,0.6697127937336814,0.008909881094203504
DataSet_01_198,TP63,0.07571801566579635,0.06266318537859007,0.06949507677301009
DataSet_01_200,TP63,0.23237597911227154,0.4386422976501306,0.15330739382666717
DataSet_01_203,XBP1,0.195822454308094,0.2924281984334204,0.07014693516622296
DataSet_01_204,XBP1,0.022193211488250653,0.4830287206266319,0.08459318557579072
DataSet_01_211,REST,0.0013054830287206266,0.0039164490861618795,0.1327242503417407
DataSet_01_213,SOX11,0.11879895561357702,0.29765013054830286,0.03328889106348544
DataSet_01_214,BCLAF1,0.020887728459530026,0.16840731070496084,0.0817935443968973
DataSet_01_217,TAL1,0.08485639686684072,0.044386422976501305,0.18213245271566192
DataSet_01_220,HIF1A,0.01174934725848564,0.033942558746736295,0.06925084920004314
DataSet_01_222,KLF9,0.43733681462140994,0.38511749347258484,0.040021239531724706
DataSet_01_223,FOXM1,0.04308093994778068,0.674934725848564,0.0011361515294979819
DataSet_01_224,HIF1A,0.028720626631853787,0.19321148825065274,0.09198602703307625
DataSet_01_226,KLF2,0.4451697127937337,0.21018276762402088,0.1335958818803355
DataSet_01_228,HIF1A,0.014360313315926894,0.0026109660574412533,0.021408341407191493
DataSet_01_233,FOXA1,0.14490861618798956,0.639686684073107,0.16256269102358803
DataSet_01_238,NFYB,0.08746736292428199,0.206266318537859,0.006598367015912751
DataSet_01_244,ETS1,0.031331592689295036,0.04569190600522193,0.01556127954297017
DataSet_01_246,TLX1,0.04308093994778068,0.9751958224543081,0.010676062985512115
DataSet_01_247,GATA6,0.06135770234986945,0.8289817232375979,0.012421642599699433
DataSet_01_248,SMAD2,0.1801566579634465,0.10966057441253264,0.00415637456526361
DataSet_01_255,YBX1,0.5052219321148825,0.6684073107049608,0.10111728793888271
DataSet_01_256,YBX1,0.028720626631853787,0.033942558746736295,0.06671329292363269
DataSet_01_257,YBX1,0.6736292428198434,0.6762402088772846,0.16489318626835942
DataSet_01_258,YBX1,0.07441253263707572,0.07702349869451697,0.06826816282078556
DataSet_01_260,SOX4,0.02349869451697128,0.19973890339425587,0.08566472531896198
DataSet_01_261,NFKB2,0.06919060052219321,0.18407310704960836,0.04219167055571462
DataSet_01_267,FOXO3,0.20887728459530025,0.17885117493472585,0.10813335124036934
DataSet_01_269,SIX4,0.5718015665796344,0.6762402088772846,0.11324303890676024
DataSet_01_277,SALL4,0.25326370757180156,0.6122715404699739,0.062314660563606954
DataSet_01_280,ESRRA,0.1409921671018277,0.41383812010443866,0.17867208588983402
DataSet_01_281,MSX1,0.14882506527415143,0.8002610966057441,0.09912404122349895
DataSet_01_282,IRF7,0.3198433420365535,0.6462140992167101,0.027753268368541487
DataSet_01_283,AHR,0.031331592689295036,0.10966057441253264,0.017350358257996436
DataSet_01_295,TFAP4,0.4621409921671018,0.45430809399477806,1.0
DataSet_01_299,SOX7,0.12532637075718014,0.7532637075718016,0.1786661189150165
DataSet_01_300,SOX17,0.0587467362924282,0.24804177545691905,0.12546295846126668
DataSet_01_304,ETV5,0.9738903394255874,0.8133159268929504,0.1747953945985288
DataSet_01_305,HOXA5,0.4308093994778068,0.5691906005221932,0.007939663511006776
DataSet_01_306,NR2E1,0.2349869451697128,0.08485639686684072,0.14890476257324228
DataSet_01_308,SOX9,0.13838120104438642,0.04308093994778068,0.27223466901864296
DataSet_01_309,SOX9,0.13838120104438642,0.04308093994778068,0.27223466901864296
DataSet_01_312,TFAP2C,0.03263707571801567,0.17754569190600522,0.023008995667322535
DataSet_01_318,ELK3,0.44386422976501305,0.31070496083550914,0.13320398030209263
DataSet_01_324,MYC,0.0013054830287206266,0.0026109660574412533,0.25846276654388955
DataSet_01_327,TP63,0.015665796344647518,0.028720626631853787,0.07208638611837202
DataSet_01_330,TP63,0.015665796344647518,0.028720626631853787,0.07208638611837202
DataSet_01_332,TOX,0.014360313315926894,0.16579634464751958,0.027475486640590196
DataSet_01_333,HOXC6,0.3342036553524804,0.11879895561357702,0.0037918024715989434
DataSet_01_336,GRHL3,0.2010443864229765,0.08485639686684072,0.04088601313805018
DataSet_01_337,REST,0.0013054830287206266,0.0026109660574412533,0.06839799664907555
