exp,tf,has_self_edge,in_matrix,ulm,prop_ulm,no_self-edge,prop_no_self-edge,no_other_regulon,prop_no_other_regulon,gene_off_network,prop_gene_off_network,masked,prop_masked
DataSet_01_006,PROX1,False,True,0.15926892950391644,0.597911227154047,0.15926892950391644,0.597911227154047,0.16057441253263707,0.7571801566579635,0.16057441253263707,0.7571801566579635,0.16057441253263707,0.7545691906005222
DataSet_01_007,NR2F2,True,True,0.26762402088772846,0.7924281984334204,0.3237597911227154,0.7976501305483029,0.26762402088772846,0.8224543080939948,0.3237597911227154,0.8328981723237598,0.32114882506527415,0.8276762402088773
DataSet_01_008,WT1,True,True,0.4177545691906005,0.009138381201044387,0.3263707571801567,0.009138381201044387,0.412532637075718,0.030026109660574413,0.31723237597911225,0.02741514360313316,0.31592689295039167,0.028720626631853787
DataSet_01_010,TP53,True,True,0.009138381201044387,0.0013054830287206266,0.010443864229765013,0.0013054830287206266,0.007832898172323759,0.9399477806788512,0.007832898172323759,0.9412532637075718,0.007832898172323759,0.9216710182767625
DataSet_01_011,TP53,True,True,0.283289817232376,0.0013054830287206266,0.32114882506527415,0.0013054830287206266,0.26109660574412535,0.9856396866840731,0.3002610966057441,0.9856396866840731,0.2989556135770235,0.9856396866840731
DataSet_01_012,FLI1,True,True,0.16318537859007834,0.6840731070496083,0.18407310704960836,0.6932114882506527,0.16318537859007834,0.737597911227154,0.18407310704960836,0.7402088772845953,0.1866840731070496,0.7389033942558747
DataSet_01_013,FLI1,True,True,0.022193211488250653,0.007832898172323759,0.030026109660574413,0.009138381201044387,0.022193211488250653,0.020887728459530026,0.030026109660574413,0.022193211488250653,0.030026109660574413,0.022193211488250653
DataSet_01_014,FLI1,True,True,0.11096605744125326,0.16449086161879894,0.14360313315926893,0.1919060052219321,0.11096605744125326,0.37467362924281983,0.14360313315926893,0.402088772845953,0.14490861618798956,0.40600522193211486
DataSet_01_015,FLI1,True,True,0.22193211488250653,0.5509138381201044,0.2454308093994778,0.5574412532637075,0.2206266318537859,0.6201044386422977,0.24281984334203655,0.6227154046997389,0.24673629242819844,0.6227154046997389
DataSet_01_016,FLI1,True,True,0.016971279373368148,0.07049608355091384,0.0195822454308094,0.0731070496083551,0.016971279373368148,0.13054830287206268,0.0195822454308094,0.1422976501305483,0.0195822454308094,0.1409921671018277
DataSet_01_017,ERG,True,True,0.1618798955613577,0.1462140992167102,0.26631853785900783,0.19973890339425587,0.16057441253263707,0.4151436031331593,0.26631853785900783,0.4660574412532637,0.26631853785900783,0.4621409921671018
DataSet_01_018,YY1,True,True,0.5939947780678851,0.9007832898172323,0.52088772845953,0.8968668407310705,0.5939947780678851,0.9399477806788512,0.5182767624020888,0.9399477806788512,0.5248041775456919,0.9386422976501305
DataSet_01_021,STAT1,True,True,0.014360313315926894,0.02610966057441253,0.014360313315926894,0.02610966057441253,0.014360313315926894,0.048302872062663184,0.014360313315926894,0.04960835509138381,0.014360313315926894,0.050913838120104436
DataSet_01_025,MITF,True,True,0.0039164490861618795,0.048302872062663184,0.005221932114882507,0.05352480417754569,0.0039164490861618795,0.3472584856396867,0.005221932114882507,0.3772845953002611,0.006527415143603133,0.3668407310704961
DataSet_01_026,PAX3,True,True,0.07702349869451697,0.0013054830287206266,0.21801566579634465,0.0013054830287206266,0.06266318537859007,0.5652741514360313,0.20365535248041775,0.6997389033942559,0.20365535248041775,0.6879895561357703
DataSet_01_027,PAX3,True,True,0.12924281984334204,0.009138381201044387,0.2010443864229765,0.009138381201044387,0.1279373368146214,0.048302872062663184,0.195822454308094,0.050913838120104436,0.19712793733681463,0.05483028720626632
DataSet_01_030,RELA,True,True,0.0013054830287206266,0.007832898172323759,0.0039164490861618795,0.007832898172323759,0.0013054830287206266,0.014360313315926894,0.0026109660574412533,0.014360313315926894,0.0026109660574412533,0.014360313315926894
DataSet_01_031,TP53,True,True,0.02610966057441253,0.0013054830287206266,0.030026109660574413,0.0013054830287206266,0.018276762402088774,0.006527415143603133,0.020887728459530026,0.006527415143603133,0.020887728459530026,0.006527415143603133
DataSet_01_033,ATF3,True,True,0.23368146214099217,0.06135770234986945,0.14882506527415143,0.05613577023498695,0.2310704960835509,0.45822454308093996,0.14882506527415143,0.39556135770234985,0.14490861618798956,0.412532637075718
DataSet_01_034,EGR3,False,True,0.050913838120104436,0.06527415143603134,0.050913838120104436,0.06527415143603134,0.04960835509138381,0.15926892950391644,0.04960835509138381,0.15926892950391644,0.04960835509138381,0.16318537859007834
DataSet_01_036,ETV1,False,True,0.9804177545691906,0.7036553524804178,0.9804177545691906,0.7036553524804178,0.9804177545691906,0.8785900783289817,0.9804177545691906,0.8785900783289817,0.9804177545691906,0.8785900783289817
DataSet_01_037,TP53,True,True,0.7323759791122716,0.0013054830287206266,0.7728459530026109,0.0013054830287206266,0.7297650130548303,0.04699738903394256,0.7663185378590078,0.048302872062663184,0.7663185378590078,0.05221932114882506
DataSet_01_038,TP53,True,True,0.0026109660574412533,0.0013054830287206266,0.0026109660574412533,0.0013054830287206266,0.0013054830287206266,0.0039164490861618795,0.0013054830287206266,0.0039164490861618795,0.0013054830287206266,0.0039164490861618795
DataSet_01_042,POU5F1,True,True,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,0.8433420365535248,0.0013054830287206266,0.8498694516971279,0.0013054830287206266,0.8459530026109661
DataSet_01_044,MYB,True,True,0.024804177545691905,0.006527415143603133,0.030026109660574413,0.006527415143603133,0.024804177545691905,0.016971279373368148,0.030026109660574413,0.0195822454308094,0.031331592689295036,0.0195822454308094
DataSet_01_049,STAT3,True,True,0.2754569190600522,0.04960835509138381,0.3276762402088773,0.050913838120104436,0.2754569190600522,0.3825065274151436,0.3276762402088773,0.4086161879895561,0.3302872062663185,0.4216710182767624
DataSet_01_051,RARA,True,True,0.9947780678851175,0.912532637075718,0.9947780678851175,0.9138381201044387,0.9947780678851175,0.9503916449086162,0.9947780678851175,0.9530026109660574,0.9947780678851175,0.9503916449086162
DataSet_01_053,TFAP2C,True,True,0.0026109660574412533,0.08877284595300261,0.0039164490861618795,0.1618798955613577,0.0026109660574412533,0.20887728459530025,0.0039164490861618795,0.4046997389033943,0.0039164490861618795,0.4255874673629243
DataSet_01_058,BACH1,False,True,0.0013054830287206266,0.018276762402088774,0.0013054830287206266,0.018276762402088774,0.0013054830287206266,0.07049608355091384,0.0013054830287206266,0.07049608355091384,0.0013054830287206266,0.0731070496083551
DataSet_01_059,BACH1,False,True,0.0013054830287206266,0.016971279373368148,0.0013054830287206266,0.016971279373368148,0.0013054830287206266,0.04699738903394256,0.0013054830287206266,0.04699738903394256,0.0013054830287206266,0.048302872062663184
