exp,tf,self_edge_weight,has_self_edge,sign,regulon_size,type_p,ulm,no_self-edge,masked
DataSet_01_006,PROX1,0.0,False,none,34,-1,0.15926892950391644,0.15926892950391644,0.16057441253263707
DataSet_01_007,NR2F2,1.0,True,+1,79,-1,0.26762402088772846,0.3237597911227154,0.32114882506527415
DataSet_01_008,WT1,-1.0,True,-1,151,-1,0.4177545691906005,0.3263707571801567,0.31592689295039167
DataSet_01_010,TP53,1.0,True,+1,931,-1,0.009138381201044387,0.010443864229765013,0.007832898172323759
DataSet_01_011,TP53,1.0,True,+1,931,-1,0.283289817232376,0.32114882506527415,0.2989556135770235
DataSet_01_012,FLI1,1.0,True,+1,93,-1,0.16318537859007834,0.18407310704960836,0.1866840731070496
DataSet_01_013,FLI1,1.0,True,+1,93,-1,0.022193211488250653,0.030026109660574413,0.030026109660574413
DataSet_01_014,FLI1,1.0,True,+1,93,-1,0.11096605744125326,0.14360313315926893,0.14490861618798956
DataSet_01_015,FLI1,1.0,True,+1,93,-1,0.22193211488250653,0.2454308093994778,0.24673629242819844
DataSet_01_016,FLI1,1.0,True,+1,93,-1,0.016971279373368148,0.0195822454308094,0.0195822454308094
DataSet_01_017,ERG,1.0,True,+1,56,-1,0.1618798955613577,0.26631853785900783,0.26631853785900783
DataSet_01_018,YY1,-1.0,True,-1,252,-1,0.5939947780678851,0.52088772845953,0.5248041775456919
DataSet_01_021,STAT1,1.0,True,+1,294,-1,0.014360313315926894,0.014360313315926894,0.014360313315926894
DataSet_01_025,MITF,1.0,True,+1,109,-1,0.0039164490861618795,0.005221932114882507,0.006527415143603133
DataSet_01_026,PAX3,1.0,True,+1,113,-1,0.07702349869451697,0.21801566579634465,0.20365535248041775
DataSet_01_027,PAX3,1.0,True,+1,113,-1,0.12924281984334204,0.2010443864229765,0.19712793733681463
DataSet_01_030,RELA,1.0,True,+1,540,-1,0.0013054830287206266,0.0039164490861618795,0.0026109660574412533
DataSet_01_031,TP53,1.0,True,+1,931,-1,0.02610966057441253,0.030026109660574413,0.020887728459530026
DataSet_01_033,ATF3,-1.0,True,-1,108,-1,0.23368146214099217,0.14882506527415143,0.14490861618798956
DataSet_01_034,EGR3,0.0,False,none,32,-1,0.050913838120104436,0.050913838120104436,0.04960835509138381
DataSet_01_036,ETV1,0.0,False,none,21,-1,0.9804177545691906,0.9804177545691906,0.9804177545691906
