exp,tf,masked_frac,hit10,hit5,regulon_size,own_logfc,sign_class
DataSet_01_006,PROX1,0.16057441253263707,False,False,34,-1.13977,activator-majority
DataSet_01_007,NR2F2,0.32114882506527415,False,False,79,-1.34696,repressor-majority
DataSet_01_008,WT1,0.31592689295039167,False,False,151,-1.11474,activator-majority
DataSet_01_010,TP53,0.007832898172323759,True,True,931,-3.13745,activator-majority
DataSet_01_011,TP53,0.2989556135770235,False,False,931,-2.43895,activator-majority
DataSet_01_012,FLI1,0.1866840731070496,False,False,93,-1.46311,activator-majority
DataSet_01_013,FLI1,0.030026109660574413,True,True,93,-2.12989,activator-majority
DataSet_01_014,FLI1,0.14490861618798956,False,False,93,-1.62202,activator-majority
DataSet_01_015,FLI1,0.24673629242819844,False,False,93,-1.08896,activator-majority
DataSet_01_016,FLI1,0.0195822454308094,True,True,93,-1.26522,activator-majority
DataSet_01_017,ERG,0.26631853785900783,False,False,56,-2.34525,no default edges
DataSet_01_018,YY1,0.5248041775456919,False,False,252,-2.07726,activator-majority
DataSet_01_021,STAT1,0.014360313315926894,True,True,294,-1.36,activator-majority
DataSet_01_025,MITF,0.006527415143603133,True,True,109,-1.04766,activator-majority
DataSet_01_026,PAX3,0.20365535248041775,False,False,113,-1.25574,activator-majority
DataSet_01_027,PAX3,0.19712793733681463,False,False,113,-1.05249,activator-majority
DataSet_01_030,RELA,0.0026109660574412533,True,True,540,-2.00711,activator-majority
DataSet_01_031,TP53,0.020887728459530026,True,True,931,-3.46451,activator-majority
DataSet_01_033,ATF3,0.14490861618798956,False,False,108,-1.92622,repressor-majority
DataSet_01_034,EGR3,0.04960835509138381,True,True,32,-1.91759,activator-majority
DataSet_01_036,ETV1,0.9804177545691906,False,False,21,-1.87871,no default edges
DataSet_01_037,TP53,0.7663185378590078,False,False,931,-1.7844,activator-majority
DataSet_01_038,TP53,0.0013054830287206266,True,True,931,-1.36,activator-majority
DataSet_01_042,POU5F1,0.0013054830287206266,True,True,89,-2.46487,activator-majority
DataSet_01_044,MYB,0.031331592689295036,True,True,177,-1.99639,activator-majority
DataSet_01_049,STAT3,0.3302872062663185,False,False,425,-2.85367,no default edges
DataSet_01_051,RARA,0.9947780678851175,False,False,182,-1.27545,activator-majority
DataSet_01_053,TFAP2C,0.0039164490861618795,True,True,34,-2.27423,activator-majority
DataSet_01_058,BACH1,0.0013054830287206266,True,True,15,-2.42937,tie / no PMID
DataSet_01_059,BACH1,0.0013054830287206266,True,True,15,-2.50171,tie / no PMID
DataSet_01_060,NFE2L2,0.0026109660574412533,True,True,196,-2.87887,activator-majority
DataSet_01_068,TP53,0.044386422976501305,True,True,931,-4.44308,activator-majority
DataSet_01_071,ELF5,0.4216710182767624,False,False,10,-1.7665,repressor-majority
DataSet_01_073,ZNF148,0.007832898172323759,True,True,31,-1.32859,activator-majority
DataSet_01_074,CEBPD,0.12532637075718014,False,False,94,-1.47847,activator-majority
DataSet_01_075,CEBPZ,0.5221932114882507,False,False,18,-1.47229,activator-majority
DataSet_01_076,ETS1,0.5352480417754569,False,False,206,-1.41362,no default edges
DataSet_01_077,FOXM1,0.3877284595300261,False,False,97,-1.52687,no default edges
DataSet_01_078,HSF2,0.28720626631853785,False,False,25,-1.50714,activator-majority
DataSet_01_079,MITF,0.3720626631853786,False,False,109,-3.45338,activator-majority
DataSet_01_080,RELA,0.04046997389033943,True,True,540,-1.02265,activator-majority
DataSet_01_081,SP1,0.0013054830287206266,True,True,1260,-1.20083,activator-majority
DataSet_01_083,STAT1,0.35900783289817234,False,False,294,-1.42141,activator-majority
DataSet_01_084,STAT3,0.1618798955613577,False,False,425,-1.94704,no default edges
DataSet_01_085,STAT6,0.3224543080939948,False,False,124,-1.03356,activator-majority
DataSet_01_086,HIF1A,0.0013054830287206266,True,True,447,-2.143,activator-majority
DataSet_01_088,FOXP1,0.16840731070496084,False,False,33,-1.35282,repressor-majority
DataSet_01_089,NR2F2,0.6932114882506527,False,False,79,-3.82418,repressor-majority
DataSet_01_090,NR2F2,0.5469973890339426,False,False,79,-1.00829,repressor-majority
DataSet_01_091,ETV6,0.9765013054830287,False,False,27,-1.3224,repressor-majority
DataSet_01_094,NANOG,0.20757180156657964,False,False,59,-1.55195,repressor-majority
DataSet_01_095,POU5F1,0.010443864229765013,True,True,89,-2.36646,activator-majority
DataSet_01_096,SOX2,0.0026109660574412533,True,True,88,-2.0889,no default edges
DataSet_01_098,SALL4,0.26240208877284593,False,False,21,-1.30794,no default edges
DataSet_01_099,FOS,0.8681462140992167,False,False,330,-1.23434,activator-majority
DataSet_01_101,IRF6,0.5469973890339426,False,False,15,-1.60997,activator-majority
DataSet_01_103,HNF1B,0.020887728459530026,True,True,65,-1.0585,activator-majority
DataSet_01_105,FOXA1,0.04960835509138381,True,True,69,-1.75809,activator-majority
DataSet_01_112,HSF1,0.381201044386423,False,False,98,-1.08589,activator-majority
DataSet_01_114,ARID1A,0.7898172323759791,False,False,8,-1.06589,activator-majority
DataSet_01_117,ID1,0.8211488250652742,False,False,77,-1.33333,repressor-majority
DataSet_01_118,ID1,0.16579634464751958,False,False,77,-2.39931,repressor-majority
DataSet_01_121,ZIC2,0.5182767624020888,False,False,7,-3.17208,tie / no PMID
DataSet_01_123,ZNF91,0.4699738903394256,False,False,48,-2.18049,repressor-majority
DataSet_01_132,EGR4,0.05221932114882506,True,False,15,-1.1066,activator-majority
DataSet_01_135,SPDEF,0.1514360313315927,False,False,19,-1.04132,activator-majority
DataSet_01_136,REST,0.0013054830287206266,True,True,73,-1.42747,no default edges
DataSet_01_138,IKZF1,0.9673629242819843,False,False,51,-1.02215,activator-majority
DataSet_01_142,LEF1,0.10966057441253264,False,False,116,-1.61584,no default edges
DataSet_01_145,REST,0.0013054830287206266,True,True,73,-1.19468,no default edges
DataSet_01_147,EHF,0.391644908616188,False,False,13,-1.91277,activator-majority
DataSet_01_148,MYBL2,0.19973890339425587,False,False,51,-1.52657,activator-majority
DataSet_01_149,ETS2,0.9569190600522193,False,False,105,-1.04667,no default edges
DataSet_01_150,TFAP2C,0.009138381201044387,True,True,34,-2.62373,activator-majority
DataSet_01_151,TEAD4,0.03524804177545692,True,True,11,-1.66583,no default edges
DataSet_01_154,STAT1,0.48433420365535246,False,False,294,-1.16067,activator-majority
