tf,cls,size,n,med_fr,mean_fr,hits,med_lfc
AHR,activator-majority,191,1,0.037859007832898174,0.037859007832898174,1,-1.92282
AR,activator-majority,493,4,0.6292428198433421,0.6445822454308094,0,-1.8042120000000001
ARID1A,activator-majority,8,2,0.6475195822454308,0.6475195822454308,0,-1.1681249999999999
ATF3,repressor-majority,108,3,0.38511749347258484,0.3803307223672759,0,-1.86056
ATF4,no default edges,121,1,0.009138381201044387,0.009138381201044387,1,-2.426447
BACH1,tie / no PMID,15,2,0.0013054830287206266,0.0013054830287206266,2,-2.46554
BCL6,repressor-majority,99,1,0.0013054830287206266,0.0013054830287206266,1,-1.080475
BCLAF1,activator-majority,8,1,0.5274151436031331,0.5274151436031331,0,-1.2932
CDX2,no default edges,77,1,0.7493472584856397,0.7493472584856397,0,-1.29555
CEBPB,activator-majority,444,1,0.0013054830287206266,0.0013054830287206266,1,-2.360576
CEBPD,activator-majority,94,1,0.12532637075718014,0.12532637075718014,0,-1.47847
CEBPZ,activator-majority,18,1,0.5221932114882507,0.5221932114882507,0,-1.47229
CTCF,activator-majority,137,2,0.4908616187989556,0.4908616187989556,1,-1.6348165
CTNNB1,no default edges,331,1,0.7976501305483029,0.7976501305483029,0,-3.872987
DLX1,repressor-majority,10,1,0.6971279373368147,0.6971279373368147,0,-1.25001
E2F1,no default edges,306,1,0.009138381201044387,0.009138381201044387,1,-1.801817
E2F7,no default edges,7,1,0.7506527415143603,0.7506527415143603,0,-1.445059
EGR3,activator-majority,32,1,0.04960835509138381,0.04960835509138381,1,-1.91759
EGR4,activator-majority,15,1,0.05221932114882506,0.05221932114882506,1,-1.1066
EHF,activator-majority,13,1,0.391644908616188,0.391644908616188,0,-1.91277
ELF5,repressor-majority,10,1,0.4216710182767624,0.4216710182767624,0,-1.7665
ELK1,no default edges,58,2,0.4099216710182767,0.4099216710182767,0,-1.60558
ELK3,repressor-majority,27,1,0.44386422976501305,0.44386422976501305,0,-2.82074
EP300,activator-majority,73,1,0.5313315926892951,0.5313315926892951,0,-1.72724
ERG,no default edges,56,1,0.26631853785900783,0.26631853785900783,0,-2.34525
ESRRA,no default edges,49,1,0.2950391644908616,0.2950391644908616,0,-1.91149
ESRRG,activator-majority,26,1,0.26762402088772846,0.26762402088772846,0,-1.14821
ETS1,no default edges,206,4,0.05548302872062663,0.17199738903394257,3,-1.307703
ETS2,no default edges,105,1,0.9569190600522193,0.9569190600522193,0,-1.04667
ETV1,no default edges,21,1,0.9804177545691906,0.9804177545691906,0,-1.87871
ETV4,no default edges,62,1,0.9138381201044387,0.9138381201044387,0,-1.64145
ETV5,no default edges,23,1,0.9738903394255874,0.9738903394255874,0,-1.12304
ETV6,repressor-majority,27,2,0.9184073107049608,0.9184073107049608,0,-1.780386
FLI1,activator-majority,93,6,0.16579634464751958,0.2693646649260226,2,-1.542565
