exp,tf,a,m,regulon_size,multi_tf
DataSet_01_006,PROX1,-1.162674596046468,-1.13977,34,False
DataSet_01_007,NR2F2,-0.24608354527782775,-1.34696,78,True
DataSet_01_008,WT1,-1.040704905869882,-1.11474,150,False
DataSet_01_010,TP53,-3.8659061992879384,-3.13745,930,True
DataSet_01_011,TP53,-0.4331983568344538,-2.43895,930,True
DataSet_01_012,FLI1,-0.9487186703485779,-1.46311,92,True
DataSet_01_013,FLI1,-3.49904221925604,-2.12989,92,True
DataSet_01_014,FLI1,-1.6791946055995877,-1.62202,92,True
DataSet_01_015,FLI1,-0.46349177413903325,-1.08896,92,True
DataSet_01_016,FLI1,-3.9714264824355996,-1.26522,92,True
DataSet_01_017,ERG,-0.4040939684210191,-2.34525,55,False
DataSet_01_018,YY1,0.8716975212972217,-2.07726,251,False
DataSet_01_021,STAT1,-4.708392997545927,-1.36,293,True
DataSet_01_025,MITF,-3.350628570506841,-1.04766,108,True
DataSet_01_026,PAX3,-0.800284388921125,-1.25574,112,True
DataSet_01_027,PAX3,-1.3403608020982631,-1.05249,112,True
DataSet_01_030,RELA,-10.624056434271395,-2.00711,539,True
DataSet_01_031,TP53,-7.625228105436369,-3.46451,930,True
DataSet_01_033,ATF3,-1.0254982428416224,-1.92622,107,True
DataSet_01_034,EGR3,-2.6139500848414317,-1.91759,32,False
DataSet_01_036,ETV1,2.696499489485223,-1.87871,21,False
DataSet_01_037,TP53,0.5671792247231392,-1.7844,930,True
DataSet_01_038,TP53,-8.053968446345179,-1.36,930,True
DataSet_01_042,POU5F1,-9.272918686323706,-2.46487,88,True
DataSet_01_044,MYB,-3.6716248647577636,-1.99639,176,True
DataSet_01_049,STAT3,-0.3952525602981082,-2.85367,424,True
DataSet_01_051,RARA,4.41126088662713,-1.27545,181,False
DataSet_01_053,TFAP2C,-4.657936477696238,-2.27423,33,True
DataSet_01_058,BACH1,-4.136383632353919,-2.42937,15,True
DataSet_01_059,BACH1,-5.2854846922431,-2.50171,15,True
DataSet_01_060,NFE2L2,-9.193611243321355,-2.87887,195,False
DataSet_01_068,TP53,-1.950714161681449,-4.44308,930,True
DataSet_01_071,ELF5,0.05344620010470794,-1.7665,10,False
DataSet_01_073,ZNF148,-3.51247010682378,-1.32859,30,False
DataSet_01_074,CEBPD,-2.502595254198955,-1.47847,93,False
DataSet_01_075,CEBPZ,-0.32457192525989137,-1.47229,18,False
DataSet_01_076,ETS1,-0.32717711085775275,-1.41362,205,True
DataSet_01_077,FOXM1,-1.1512306420448337,-1.52687,96,True
DataSet_01_078,HSF2,-0.522912588179607,-1.50714,24,False
DataSet_01_079,MITF,-0.5327988229540433,-3.45338,108,True
DataSet_01_080,RELA,-4.812052446683949,-1.02265,539,True
DataSet_01_081,SP1,-6.265829407224807,-1.20083,1259,True
DataSet_01_083,STAT1,-1.4330199637758771,-1.42141,293,True
DataSet_01_084,STAT3,-1.7851634761753967,-1.94704,424,True
DataSet_01_085,STAT6,-1.538867900047047,-1.03356,123,True
DataSet_01_086,HIF1A,-11.502933584876391,-2.143,446,True
DataSet_01_088,FOXP1,-1.055029849259936,-1.35282,32,False
DataSet_01_089,NR2F2,0.6161147022806559,-3.82418,78,True
DataSet_01_090,NR2F2,0.7048950349365369,-1.00829,78,True
DataSet_01_091,ETV6,2.605330461440924,-1.3224,27,True
DataSet_01_094,NANOG,-1.928390288857206,-1.55195,58,False
DataSet_01_095,POU5F1,-4.548698150330146,-2.36646,88,True
DataSet_01_096,SOX2,-6.612309814584895,-2.0889,87,True
DataSet_01_098,SALL4,-0.5559221937137896,-1.30794,20,True
DataSet_01_099,FOS,1.8913512262740664,-1.23434,329,False
DataSet_01_101,IRF6,0.9757879165536888,-1.60997,14,False
DataSet_01_103,HNF1B,-3.2423264262352705,-1.0585,64,False
DataSet_01_105,FOXA1,-2.7320786651280855,-1.75809,69,True
DataSet_01_112,HSF1,-0.21967834713626236,-1.08589,97,True
DataSet_01_114,ARID1A,1.0546143581985643,-1.06589,8,True
DataSet_01_117,ID1,2.540617102062704,-1.33333,76,True
DataSet_01_118,ID1,-1.2247528153420701,-2.39931,76,True
DataSet_01_121,ZIC2,0.353923311704445,-3.17208,7,False
DataSet_01_123,ZNF91,0.4124919888555491,-2.18049,48,False
DataSet_01_132,EGR4,-1.8241516919359255,-1.1066,15,False
DataSet_01_135,SPDEF,-1.157063800526525,-1.04132,18,True
DataSet_01_136,REST,-19.770385519560325,-1.42747,73,True
DataSet_01_138,IKZF1,2.5496525576878324,-1.02215,51,False
DataSet_01_142,LEF1,-1.6552978065115653,-1.61584,115,False
DataSet_01_145,REST,-14.435754171839784,-1.19468,73,True
DataSet_01_147,EHF,0.15815432738009763,-1.91277,13,False
DataSet_01_148,MYBL2,-1.952451526300114,-1.52657,50,False
DataSet_01_149,ETS2,2.5704493662465744,-1.04667,104,False
DataSet_01_150,TFAP2C,-5.920490764102591,-2.62373,33,True
DataSet_01_151,TEAD4,-2.4874593532008165,-1.66583,11,True
DataSet_01_154,STAT1,-0.4687335896950987,-1.16067,293,True
DataSet_01_155,HSF1,-2.9032905052055216,-3.16222,97,True
DataSet_01_156,HIF1A,-1.979415414331173,-2.85412,446,True
DataSet_01_162,ELK1,-0.6457732387394376,-1.74762,58,True
DataSet_01_164,JUN,-2.350865971105988,-3.11636,636,True
DataSet_01_165,MAF,-2.1578117271814223,-8.52636,61,False
DataSet_01_166,NFATC3,0.4223546621205658,-1.78257,40,False
DataSet_01_168,STAT3,-4.549244850564252,-1.77563,424,True
DataSet_01_169,HOXB7,-1.572236696623902,-3.53249,23,True
DataSet_01_170,HOXB7,2.529441931953534,-2.7728,23,True
DataSet_01_171,FOSL1,0.5780823871994804,-1.41633,50,False
DataSet_01_173,ESRRG,-0.49939378071624013,-1.14821,25,False
DataSet_01_175,TP53,-2.794541447831697,-2.24874,930,True
DataSet_01_176,NR2F2,-0.525630978886188,-2.13662,78,True
DataSet_01_177,NR2F2,-0.6067322056363397,-2.04676,78,True
DataSet_01_180,STAT3,5.695058803601778,-1.25806,424,True
DataSet_01_183,TP63,-3.468216569566007,-1.01935,197,True
DataSet_01_184,STAT3,-6.197366182668548,-2.20116,424,True
DataSet_01_185,TCF4,1.5951272526240798,-1.94197,56,False
DataSet_01_189,SPDEF,2.66389716696212,-1.49909,18,True
DataSet_01_192,AR,0.2565605744776413,-1.3753,492,True
DataSet_01_196,TP63,-1.9155121804971407,-1.31678,197,True
DataSet_01_198,TP63,-2.9281138747739512,-1.73883,197,True
DataSet_01_200,TP63,-0.5150609974897525,-1.21925,197,True
DataSet_01_203,XBP1,-0.2054609368945483,-2.69096,52,True
DataSet_01_204,XBP1,-1.4955223281248997,-1.83171,52,True
DataSet_01_211,REST,-9.657948521003648,-1.90083,73,True
DataSet_01_213,SOX11,-1.6349015523212755,-1.94653,11,True
DataSet_01_214,BCLAF1,0.24260744063845013,-1.2932,7,False
DataSet_01_217,TAL1,-0.7175718177571291,-2.05844,93,False
DataSet_01_220,HIF1A,-4.443859882170666,-1.23384,446,True
DataSet_01_222,KLF9,0.030581262177780975,-2.95993,25,False
DataSet_01_223,FOXM1,-0.4141580245216768,-3.69268,96,True
DataSet_01_224,HIF1A,-2.8211994335848547,-1.95443,446,True
DataSet_01_226,KLF2,0.25699334368411386,-1.74897,65,False
DataSet_01_228,HIF1A,-9.375048670806564,-1.68165,446,True
DataSet_01_233,FOXA1,-0.45579073242124757,-1.43603,69,True
DataSet_01_238,NFYB,-2.5534865947111443,-2.46407,40,False
DataSet_01_244,ETS1,-2.899182219617845,-2.27346,205,True
DataSet_01_246,TLX1,2.2210163019513134,-1.99088,9,False
DataSet_01_247,GATA6,-1.9047801394124944,-1.15245,83,True
DataSet_01_248,SMAD2,-1.7094127892423725,-1.43249,103,True
DataSet_01_255,YBX1,0.37094122602125235,-1.44835,90,True
DataSet_01_256,YBX1,-1.3290378798443638,-1.6777,90,True
DataSet_01_257,YBX1,1.2282353290956436,-1.3417,90,True
DataSet_01_258,YBX1,-1.0010217961666312,-1.78501,90,True
DataSet_01_260,SOX4,-0.9283402052036808,-3.22029,21,True
DataSet_01_261,NFKB2,-1.4500407879448862,-1.50026,72,False
