exp,tf,study,cell,own_logfc,in_filtered_279,masked_frac,masked_sym_frac,base_rate10,base_rate10_sym,n_within_study_mates,n_same_cell_other_study_mates,in_106
DataSet_01_001,ESR1,GSE10061,MCF7,-0.71385,False,0.41383812010443866,0.674934725848564,0.16981132075471697,0.14428412874583796,0,102,False
DataSet_01_002,HNF1A,GSE103128,HuH7,0.16428,False,0.0013054830287206266,0.0013054830287206266,0.1545253863134658,0.17108167770419427,0,1,False
DataSet_01_003,MLXIP,GSE11242,HA1ER,0.26215,False,0.6827676240208878,0.6814621409921671,0.11933701657458563,0.13701657458563535,0,0,False
DataSet_01_004,CREB1,GSE12056,K562,-0.95018,False,0.34986945169712796,0.2258485639686684,0.12777777777777777,0.13111111111111112,0,186,False
DataSet_01_005,POU5F1,GSE12320,GBS6,0.0,False,0.6462140992167101,0.6148825065274152,0.1581858407079646,0.17035398230088494,0,0,False
DataSet_01_006,PROX1,GSE12846,Primary lymphatic endothelial cells,-1.13977,True,0.16057441253263707,0.2349869451697128,0.0706401766004415,0.0640176600441501,1,0,False
DataSet_01_007,NR2F2,GSE12846,Primary lymphatic endothelial cells,-1.34696,True,0.32114882506527415,0.21279373368146215,0.08888888888888889,0.09777777777777778,1,0,False
DataSet_01_008,WT1,GSE12886,PLC/PRF/5,-1.11474,True,0.31592689295039167,0.29765013054830286,0.10386740331491713,0.09944751381215469,0,0,False
DataSet_01_009,BCL11A,GSE13284,CD34-derived erythroid progenitors,-0.10769,False,0.6331592689295039,0.6148825065274152,0.09050772626931568,0.09933774834437085,0,2,False
DataSet_01_010,TP53,GSE13334,iPS cells,-3.13745,True,0.007832898172323759,0.01174934725848564,0.1318435754189944,0.1329608938547486,0,0,False
DataSet_01_011,TP53,GSE13991,U251,-2.43895,True,0.2989556135770235,0.4960835509138381,0.1318435754189944,0.1329608938547486,0,2,False
DataSet_01_012,FLI1,GSE14543,WE68,-1.46311,True,0.1866840731070496,0.24151436031331594,0.10099889012208657,0.09100998890122086,0,0,False
DataSet_01_013,FLI1,GSE14543,SK-N-MC,-2.12989,True,0.030026109660574413,0.05613577023498695,0.10099889012208657,0.09100998890122086,0,1,False
DataSet_01_014,FLI1,GSE14543,TC252,-1.62202,True,0.14490861618798956,0.20887728459530025,0.10099889012208657,0.09100998890122086,0,0,False
DataSet_01_015,FLI1,GSE14543,STA-ET-1,-1.08896,True,0.24673629242819844,0.43733681462140994,0.10099889012208657,0.09100998890122086,0,0,False
DataSet_01_016,FLI1,GSE14543,STA-ET-7.2,-1.26522,True,0.0195822454308094,0.031331592689295036,0.10099889012208657,0.09100998890122086,0,0,False
DataSet_01_017,ERG,GSE14801,HUVEC,-2.34525,True,0.26631853785900783,0.18798955613577023,0.09966777408637874,0.10188261351052048,0,10,False
