tf,n,size,max_jac,has_self,sign,ulm,noself,masked,hit10_ulm,hit5_ulm,hit10_noself,hit5_noself,hit10_masked,hit5_masked,size_bin,max_jac_bin,sbin,size_ebin,max_jac_ebin
AHR,1,194,0.1688888888888889,True,1.0,0.031331592689295036,0.0391644908616188,0.037859007832898174,True,True,True,True,True,True,high,mid,151-400,high,mid
AR,4,514,0.17023445463812437,True,1.0,0.5685378590078329,0.6422976501305483,0.6292428198433421,False,False,False,False,False,False,high,mid,>400,high,mid
ARID1A,2,8,0.21428571428571427,False,0.0,0.6475195822454308,0.6475195822454308,0.6475195822454308,False,False,False,False,False,False,low,high,<=60,low,high
ATF3,3,110,0.14754098360655737,True,-1.0,0.46866840731070497,0.39033942558746737,0.38511749347258484,False,False,False,False,False,False,high,mid,61-150,mid,mid
ATF4,1,128,0.18134715025906736,True,1.0,0.006527415143603133,0.009138381201044387,0.009138381201044387,True,True,True,True,True,True,high,mid,61-150,high,mid
BACH1,2,16,0.15,False,0.0,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,True,True,True,True,True,True,low,mid,<=60,low,mid
BCL6,1,101,0.14965986394557823,True,-1.0,0.0026109660574412533,0.0013054830287206266,0.0013054830287206266,True,True,True,True,True,True,high,mid,61-150,mid,mid
BCLAF1,1,9,0.07692307692307693,True,1.0,0.020887728459530026,0.5496083550913838,0.5274151436031331,True,True,False,False,False,False,low,low,<=60,low,low
CDX2,1,78,0.23232323232323232,True,1.0,0.6879895561357703,0.7480417754569191,0.7493472584856397,False,False,False,False,False,False,mid,high,61-150,mid,high
CEBPB,1,451,0.26153846153846155,True,1.0,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,True,True,True,True,True,True,high,high,>400,high,high
CEBPD,1,97,0.16602316602316602,True,-1.0,0.23237597911227154,0.12924281984334204,0.12532637075718014,False,False,False,False,False,False,high,mid,61-150,mid,mid
CEBPZ,1,19,0.1,False,0.0,0.5221932114882507,0.5221932114882507,0.5221932114882507,False,False,False,False,False,False,low,low,<=60,low,low
CTCF,2,147,0.08196721311475409,True,1.0,0.4425587467362924,0.49281984334203655,0.4908616187989556,False,False,False,False,False,False,high,low,61-150,high,low
CTNNB1,1,341,0.23450134770889489,True,-1.0,0.9516971279373369,0.783289817232376,0.7976501305483029,False,False,False,False,False,False,high,high,151-400,high,high
DLX1,1,10,0.2222222222222222,False,0.0,0.6971279373368147,0.6971279373368147,0.6971279373368147,False,False,False,False,False,False,low,high,<=60,low,high
E2F1,1,315,0.21303258145363407,True,1.0,0.010443864229765013,0.022193211488250653,0.009138381201044387,True,True,True,True,True,True,high,high,151-400,high,high
E2F7,1,7,0.16666666666666666,False,0.0,0.7506527415143603,0.7506527415143603,0.7506527415143603,False,False,False,False,False,False,low,mid,<=60,low,mid
EGR3,1,32,0.09302325581395349,False,0.0,0.050913838120104436,0.050913838120104436,0.04960835509138381,True,False,True,False,True,True,mid,low,<=60,low,low
EGR4,1,15,0.10526315789473684,False,0.0,0.05221932114882506,0.05221932114882506,0.05221932114882506,True,False,True,False,True,False,low,low,<=60,low,low
EHF,1,13,0.125,False,0.0,0.391644908616188,0.391644908616188,0.391644908616188,False,False,False,False,False,False,low,mid,<=60,low,low
ELF5,1,11,0.07317073170731707,False,0.0,0.4216710182767624,0.4216710182767624,0.4216710182767624,False,False,False,False,False,False,low,low,<=60,low,low
ELK1,2,61,0.11258278145695365,False,0.0,0.4099216710182767,0.4099216710182767,0.4099216710182767,False,False,False,False,False,False,mid,low,61-150,mid,low
ELK3,1,28,0.1,False,0.0,0.44386422976501305,0.44386422976501305,0.44386422976501305,False,False,False,False,False,False,mid,low,<=60,low,low
EP300,1,74,0.13768115942028986,False,0.0,0.5391644908616188,0.5391644908616188,0.5313315926892951,False,False,False,False,False,False,mid,mid,61-150,mid,mid
ERG,1,59,0.09090909090909091,True,1.0,0.1618798955613577,0.26631853785900783,0.26631853785900783,False,False,False,False,False,False,mid,low,<=60,mid,low
ESRRA,1,49,0.18181818181818182,True,1.0,0.1409921671018277,0.2885117493472585,0.2950391644908616,False,False,False,False,False,False,mid,mid,<=60,mid,mid
ESRRG,1,29,0.18181818181818182,True,1.0,0.12532637075718014,0.26762402088772846,0.26762402088772846,False,False,False,False,False,False,mid,mid,<=60,low,mid
ETS1,4,216,0.2111111111111111,True,1.0,0.03263707571801566,0.05939947780678852,0.05548302872062663,True,True,True,False,True,False,high,high,151-400,high,high
ETS2,1,111,0.2111111111111111,True,1.0,0.8407310704960835,0.95822454308094,0.9569190600522193,False,False,False,False,False,False,high,high,61-150,high,high
ETV1,1,22,0.1,False,0.0,0.9804177545691906,0.9804177545691906,0.9804177545691906,False,False,False,False,False,False,low,low,<=60,low,low
ETV4,1,68,0.12101910828025478,True,1.0,0.8368146214099217,0.9138381201044387,0.9138381201044387,False,False,False,False,False,False,mid,mid,61-150,mid,low
ETV5,1,23,0.0975609756097561,False,0.0,0.9738903394255874,0.9738903394255874,0.9738903394255874,False,False,False,False,False,False,low,low,<=60,low,low
ETV6,2,27,0.09615384615384616,False,0.0,0.9184073107049608,0.9184073107049608,0.9184073107049608,False,False,False,False,False,False,low,low,<=60,low,low
FLI1,6,97,0.31932773109243695,True,1.0,0.13707571801566582,0.16383812010443866,0.16579634464751958,False,False,False,False,False,False,high,high,61-150,mid,high
FOS,1,344,0.31675392670157065,True,-1.0,0.8838120104438643,0.8668407310704961,0.8681462140992167,False,False,False,False,False,False,high,high,151-400,high,high
FOSL1,1,51,0.19402985074626866,False,0.0,0.5234986945169713,0.5234986945169713,0.5195822454308094,False,False,False,False,False,False,mid,high,<=60,mid,mid
FOXA1,3,70,0.19883040935672514,False,0.0,0.04960835509138381,0.04960835509138381,0.04960835509138381,True,True,True,True,True,True,mid,high,61-150,mid,high
FOXD1,1,6,0.15,False,0.0,0.31723237597911225,0.31723237597911225,0.31462140992167104,False,False,False,False,False,False,low,mid,<=60,low,mid
FOXF2,1,13,0.10526315789473684,False,0.0,0.9242819843342036,0.9242819843342036,0.9242819843342036,False,False,False,False,False,False,low,low,<=60,low,low
FOXM1,5,97,0.12605042016806722,True,1.0,0.04308093994778068,0.21409921671018275,0.21018276762402088,True,True,False,False,False,False,high,mid,61-150,mid,mid
FOXO1,1,280,0.21065989847715735,True,1.0,0.08877284595300261,0.12140992167101827,0.1227154046997389,True,False,False,False,False,False,high,high,151-400,high,high
FOXO3,1,197,0.21065989847715735,True,1.0,0.20887728459530025,0.3002610966057441,0.2989556135770235,False,False,False,False,False,False,high,high,151-400,high,high
FOXP1,1,33,0.12195121951219512,True,1.0,0.07180156657963446,0.16057441253263707,0.16840731070496084,True,False,False,False,False,False,mid,mid,<=60,low,low
GATA2,1,100,0.1796116504854369,True,1.0,0.05483028720626632,0.08485639686684072,0.08485639686684072,True,False,True,False,True,False,high,mid,61-150,mid,mid
GATA3,1,192,0.08766233766233766,True,1.0,0.7571801566579635,0.8133159268929504,0.8067885117493473,False,False,False,False,False,False,high,low,151-400,high,low
GATA6,3,85,0.12690355329949238,True,1.0,0.06135770234986945,0.10704960835509138,0.10443864229765012,True,False,False,False,False,False,mid,mid,61-150,mid,mid
GRHL3,2,30,0.19672131147540983,False,0.0,0.19843342036553524,0.19843342036553524,0.19778067885117495,False,False,False,False,False,False,mid,high,<=60,low,mid
HDAC3,1,27,0.10526315789473684,False,0.0,0.7741514360313316,0.7741514360313316,0.7741514360313316,False,False,False,False,False,False,low,low,<=60,low,low
HDGF,1,7,0.23076923076923078,False,0.0,0.3133159268929504,0.3133159268929504,0.3133159268929504,False,False,False,False,False,False,low,high,<=60,low,high
HES6,2,9,0.16666666666666666,False,0.0,0.30156657963446476,0.30156657963446476,0.2989556135770235,False,False,False,False,False,False,low,mid,<=60,low,mid
HIF1A,7,463,0.16429495472186287,True,-1.0,0.014360313315926894,0.009138381201044387,0.007832898172323759,True,True,True,True,True,True,high,mid,>400,high,mid
HINFP,2,10,0.1111111111111111,True,1.0,0.2023498694516971,0.7088772845953002,0.7023498694516971,False,False,False,False,False,False,low,low,<=60,low,low
HMGA1,2,74,0.125,True,1.0,0.3896866840731071,0.4471279373368146,0.4464751958224543,False,False,False,False,False,False,mid,mid,61-150,mid,low
HNF1B,1,65,0.1724137931034483,True,1.0,0.018276762402088774,0.0195822454308094,0.020887728459530026,True,True,True,True,True,True,mid,mid,61-150,mid,mid
HOXA5,1,16,0.10526315789473684,False,0.0,0.4308093994778068,0.4308093994778068,0.42950391644908614,False,False,False,False,False,False,low,low,<=60,low,low
HOXB7,3,23,0.10344827586206896,False,0.0,0.4621409921671018,0.4621409921671018,0.4608355091383812,False,False,False,False,False,False,low,low,<=60,low,low
HOXB9,1,7,0.16666666666666666,False,0.0,0.19973890339425587,0.19973890339425587,0.19973890339425587,False,False,False,False,False,False,low,mid,<=60,low,mid
HOXC6,1,12,0.13333333333333333,False,0.0,0.3342036553524804,0.3342036553524804,0.3328981723237598,False,False,False,False,False,False,low,mid,<=60,low,mid
HSF1,3,103,0.1415929203539823,True,1.0,0.007832898172323759,0.02741514360313316,0.02610966057441253,True,True,True,True,True,True,high,mid,61-150,mid,mid
HSF2,1,26,0.15625,True,1.0,0.10052219321148825,0.28067885117493474,0.28720626631853785,False,False,False,False,False,False,low,mid,<=60,low,mid
ID1,2,79,0.19791666666666666,True,1.0,0.43798955613577023,0.5026109660574413,0.4934725848563969,False,False,False,False,False,False,mid,high,61-150,mid,high
IKZF1,1,52,0.12,False,0.0,0.9673629242819843,0.9673629242819843,0.9673629242819843,False,False,False,False,False,False,mid,mid,<=60,mid,low
IRF6,1,16,0.1,True,1.0,0.1279373368146214,0.5535248041775457,0.5469973890339426,False,False,False,False,False,False,low,low,<=60,low,low
IRF7,1,34,0.3148148148148148,False,0.0,0.3198433420365535,0.3198433420365535,0.3237597911227154,False,False,False,False,False,False,mid,high,<=60,low,high
JUN,2,662,0.4134831460674157,True,1.0,0.018929503916449084,0.02349869451697128,0.020234986945169713,True,True,True,True,True,True,high,high,>400,high,high
JUND,1,108,0.21910112359550563,True,1.0,0.018276762402088774,0.024804177545691905,0.024804177545691905,True,True,True,True,True,True,high,high,61-150,mid,high
KLF2,1,67,0.1111111111111111,True,1.0,0.4451697127937337,0.5809399477806788,0.5757180156657964,False,False,False,False,False,False,mid,low,61-150,mid,low
KLF4,1,129,0.11971830985915492,True,1.0,0.8133159268929504,0.8759791122715405,0.8746736292428199,False,False,False,False,False,False,high,mid,61-150,high,low
KLF5,4,76,0.10810810810810811,True,1.0,0.1279373368146214,0.2010443864229765,0.2016971279373368,False,False,False,False,False,False,mid,low,61-150,mid,low
