exp,tf,ulm,noself,masked,has_self,sign,size,max_jac,gc_frac
DataSet_01_006,PROX1,0.15926892950391644,0.15926892950391644,0.16057441253263707,False,0.0,34,0.07758620689655173,0.15926892950391644
DataSet_01_007,NR2F2,0.26762402088772846,0.3237597911227154,0.32114882506527415,True,1.0,79,0.20175438596491227,0.26762402088772846
DataSet_01_008,WT1,0.4177545691906005,0.3263707571801567,0.31592689295039167,True,-1.0,156,0.11255411255411256,0.4177545691906005
DataSet_01_010,TP53,0.009138381201044387,0.010443864229765013,0.007832898172323759,True,1.0,980,0.1970649895178197,0.009138381201044387
DataSet_01_011,TP53,0.283289817232376,0.32114882506527415,0.2989556135770235,True,1.0,980,0.1970649895178197,0.283289817232376
DataSet_01_012,FLI1,0.16318537859007834,0.18407310704960836,0.1866840731070496,True,1.0,97,0.31932773109243695,0.16318537859007834
DataSet_01_013,FLI1,0.022193211488250653,0.030026109660574413,0.030026109660574413,True,1.0,97,0.31932773109243695,0.022193211488250653
DataSet_01_014,FLI1,0.11096605744125326,0.14360313315926893,0.14490861618798956,True,1.0,97,0.31932773109243695,0.11096605744125326
DataSet_01_015,FLI1,0.22193211488250653,0.2454308093994778,0.24673629242819844,True,1.0,97,0.31932773109243695,0.22193211488250653
DataSet_01_016,FLI1,0.016971279373368148,0.0195822454308094,0.0195822454308094,True,1.0,97,0.31932773109243695,0.016971279373368148
DataSet_01_017,ERG,0.1618798955613577,0.26631853785900783,0.26631853785900783,True,1.0,59,0.09090909090909091,0.1618798955613577
DataSet_01_018,YY1,0.5939947780678851,0.52088772845953,0.5248041775456919,True,-1.0,266,0.11396468699839486,0.5939947780678851
DataSet_01_021,STAT1,0.014360313315926894,0.014360313315926894,0.014360313315926894,True,1.0,305,0.1967741935483871,0.014360313315926894
DataSet_01_025,MITF,0.0039164490861618795,0.005221932114882507,0.006527415143603133,True,1.0,112,0.09770114942528736,0.0039164490861618795
DataSet_01_026,PAX3,0.07702349869451697,0.21801566579634465,0.20365535248041775,True,1.0,116,0.08203125,0.07702349869451697
DataSet_01_027,PAX3,0.12924281984334204,0.2010443864229765,0.19712793733681463,True,1.0,116,0.08203125,0.12924281984334204
DataSet_01_030,RELA,0.0013054830287206266,0.0039164490861618795,0.0026109660574412533,True,1.0,560,0.5608214849921012,0.0013054830287206266
DataSet_01_031,TP53,0.02610966057441253,0.030026109660574413,0.020887728459530026,True,1.0,980,0.1970649895178197,0.02610966057441253
DataSet_01_033,ATF3,0.23368146214099217,0.14882506527415143,0.14490861618798956,True,-1.0,110,0.14754098360655737,0.23368146214099217
DataSet_01_034,EGR3,0.050913838120104436,0.050913838120104436,0.04960835509138381,False,0.0,32,0.09302325581395349,0.050913838120104436
DataSet_01_036,ETV1,0.9804177545691906,0.9804177545691906,0.9804177545691906,False,0.0,22,0.1,0.9804177545691906
DataSet_01_037,TP53,0.7323759791122716,0.7728459530026109,0.7663185378590078,True,1.0,980,0.1970649895178197,0.7323759791122716
DataSet_01_038,TP53,0.0026109660574412533,0.0026109660574412533,0.0013054830287206266,True,1.0,980,0.1970649895178197,0.0026109660574412533
DataSet_01_042,POU5F1,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,True,1.0,95,0.21875,0.0013054830287206266
DataSet_01_044,MYB,0.024804177545691905,0.030026109660574413,0.031331592689295036,True,1.0,183,0.13513513513513514,0.024804177545691905
DataSet_01_049,STAT3,0.2754569190600522,0.3276762402088773,0.3302872062663185,True,1.0,437,0.1967741935483871,0.2754569190600522
DataSet_01_051,RARA,0.9947780678851175,0.9947780678851175,0.9947780678851175,True,1.0,187,0.15503875968992248,0.9947780678851175
DataSet_01_053,TFAP2C,0.0026109660574412533,0.0039164490861618795,0.0039164490861618795,True,1.0,35,0.08695652173913043,0.0026109660574412533
DataSet_01_058,BACH1,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,False,0.0,16,0.15,0.0013054830287206266
DataSet_01_059,BACH1,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,False,0.0,16,0.15,0.0013054830287206266
DataSet_01_060,NFE2L2,0.0026109660574412533,0.0026109660574412533,0.0026109660574412533,True,1.0,204,0.10486891385767791,0.0026109660574412533
DataSet_01_068,TP53,0.057441253263707574,0.0639686684073107,0.044386422976501305,True,1.0,980,0.1970649895178197,0.057441253263707574
DataSet_01_071,ELF5,0.4216710182767624,0.4216710182767624,0.4216710182767624,False,0.0,11,0.07317073170731707,0.4216710182767624
DataSet_01_073,ZNF148,0.0026109660574412533,0.007832898172323759,0.007832898172323759,True,1.0,31,0.09090909090909091,0.0026109660574412533
DataSet_01_074,CEBPD,0.23237597911227154,0.12924281984334204,0.12532637075718014,True,-1.0,97,0.16602316602316602,0.23237597911227154
DataSet_01_075,CEBPZ,0.5221932114882507,0.5221932114882507,0.5221932114882507,False,0.0,19,0.1,0.5221932114882507
DataSet_01_076,ETS1,0.4425587467362924,0.5300261096605744,0.5352480417754569,True,1.0,216,0.2111111111111111,0.4425587467362924
DataSet_01_077,FOXM1,0.2454308093994778,0.38642297650130547,0.3877284595300261,True,1.0,97,0.12605042016806722,0.2454308093994778
DataSet_01_078,HSF2,0.10052219321148825,0.28067885117493474,0.28720626631853785,True,1.0,26,0.15625,0.10052219321148825
DataSet_01_079,MITF,0.1566579634464752,0.37597911227154046,0.3720626631853786,True,1.0,112,0.09770114942528736,0.1566579634464752
DataSet_01_080,RELA,0.0391644908616188,0.04177545691906005,0.04046997389033943,True,1.0,560,0.5608214849921012,0.0391644908616188
DataSet_01_081,SP1,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,True,1.0,1304,0.2903703703703704,0.0013054830287206266
DataSet_01_083,STAT1,0.2885117493472585,0.3629242819843342,0.35900783289817234,True,1.0,305,0.1967741935483871,0.2885117493472585
DataSet_01_084,STAT3,0.12924281984334204,0.16579634464751958,0.1618798955613577,True,1.0,437,0.1967741935483871,0.12924281984334204
DataSet_01_085,STAT6,0.23890339425587467,0.3198433420365535,0.3224543080939948,True,1.0,127,0.13432835820895522,0.23890339425587467
DataSet_01_086,HIF1A,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266,True,-1.0,463,0.16429495472186287,0.0013054830287206266
DataSet_01_088,FOXP1,0.07180156657963446,0.16057441253263707,0.16840731070496084,True,1.0,33,0.12195121951219512,0.07180156657963446
DataSet_01_089,NR2F2,0.45430809399477806,0.6932114882506527,0.6932114882506527,True,1.0,79,0.20175438596491227,0.45430809399477806
